filename,n_atoms,energy,energy_per_atom,mean_bond_length,std_bond_length,n_bonds,mean_coordination,std_coordination,max_coordination,min_coordination,radius_of_gyration,asphericity,surface_fraction,x_range,y_range,z_range,max_range,anisotropy
788.xyz,20,-1547.417307,-77.37086535,2.6267630205987427,0.04014373125579517,38,3.8,2.4000000000000004,7,1,3.7952283550170405,0.01185890118741633,0.6,8.87193416,8.87193416,7.24869,8.87193416,1.223936209163311
950.xyz,20,-1555.845105,-77.79225525000001,2.7259017021204164,0.15215275458738914,67,6.7,2.3685438564654024,16,4,3.0562120328188023,0.038688984302111006,0.8,5.43901302,5.5996713499999995,5.33359585,5.5996713499999995,1.0498867007330523
944.xyz,20,-1554.635058,-77.7317529,2.699789411613962,0.11108379887644165,61,6.1,2.5278449319529077,13,2,3.188716382009425,0.04138758823712826,0.8,8.0467396,7.2524142099999995,5.44607102,8.0467396,1.477531154193432
978.xyz,20,-1552.904167,-77.64520834999999,2.710972824972436,0.17614251283093474,58,5.5,2.29128784747792,10,2,3.2203457073163833,0.19039574037198811,0.7,7.74209877,9.36096083,4.47882851,9.36096083,2.090046718488894
993.xyz,20,-1552.718875,-77.63594375,2.7061714316574466,0.11094135683266533,59,5.9,2.7367864366808017,12,1,3.277356107665429,0.21358259590946002,0.8,4.51471774,10.26286202,7.6328767,10.26286202,2.2732012522226914
987.xyz,20,-1553.639654,-77.6819827,2.644215545170901,0.03671093839293196,48,4.8,1.4696938456699071,6,3,3.413110761942116,0.011689428533067439,0.4,4.978253690000001,4.97828186,4.90206133,4.97828186,1.0155486691962705
777.xyz,20,-1555.557674,-77.77788369999999,2.698994120905372,0.14777347279340017,63,6.1,1.7578395831246945,9,4,3.3021475938011444,0.30042189741226405,1.0,7.43003196,3.4742938,6.58360173,7.43003196,2.1385733008532557
763.xyz,20,-1546.391135,-77.31955675,2.5914601244039126,0.024879120077409392,32,3.2,0.39999999999999997,4,3,4.549384657504844,0.20132601947081633,1.0,7.79612086,7.80188232,2.6518207,7.80188232,2.942085156813204
549.xyz,20,-1549.479695,-77.47398475,2.6767508251517538,0.11098009398397314,46,4.6,2.6153393661244047,9,1,3.7175972116920404,0.3702365508783639,0.6,12.42723308,4.60126968,7.32970264,12.42723308,2.700826933491106
213.xyz,20,-1554.257775,-77.71288875,2.657947413352378,0.03264320975373622,54,5.4,2.009975124224178,9,3,3.4625447342451543,0.27508617816564856,0.8,3.9154423,7.43546068,7.879301829999999,7.879301829999999,2.0123657115314915
575.xyz,20,-1553.700014,-77.6850007,2.668791974705786,0.07576816159893192,55,5.5,1.91049731745428,10,3,3.154244218642139,0.08587956564554,0.9,7.91523238,4.82530039,7.06678365,7.91523238,1.6403605455120691
561.xyz,20,-1547.29697,-77.36484850000001,2.6616008720046365,0.1325602847429674,37,3.7,2.451530134426253,8,1,4.2814742761111315,0.3609648382558888,0.4,10.36083856,7.71400902,11.338131950000001,11.338131950000001,1.469810564209063
207.xyz,20,-1551.265371,-77.56326855,2.6409566737406025,0.11734457859539449,44,4.4,1.4966629547095764,8,3,4.063726182080387,0.34310293027580796,0.7,9.21188045,4.27286838,7.63005973,9.21188045,2.1559008213587894
398.xyz,20,-1551.604581,-77.58022905,2.7743296338957193,0.26505528716954513,59,5.1,2.6627053911388696,12,1,3.3259019471297684,0.09639273100530742,0.8,4.46956172,10.33300506,7.77547678,10.33300506,2.311860917763543
429.xyz,20,-1551.940378,-77.5970189,2.6065187760044624,0.017180454781387838,38,3.8,1.2489995996796797,6,2,4.461584238510041,0.39188116783182825,0.4,0.0,11.60151178,9.7348168,11.60151178,1.0
367.xyz,20,-1551.887826,-77.5943913,2.6622428322845693,0.15945668254637727,43,4.3,2.147091055358389,8,1,4.04857120663593,0.42555663987411474,0.5,9.5941623,7.84144156,13.4693151,13.4693151,1.7177090458351896
401.xyz,20,-1548.702202,-77.4351101,2.5949592150649075,0.019983130108598895,33,3.3,1.4866068747318506,6,1,4.179453003338749,0.2557355126270406,0.7,10.62498748,8.91366246,7.8113597,10.62498748,1.3601969296075305
415.xyz,20,-1550.807171,-77.54035855,2.72756959119208,0.26024682348611117,45,4.1,1.2999999999999998,6,2,4.346135558413159,0.393677190867882,0.3,10.2442373,2.5914642700000003,7.63276602,10.2442373,3.953069088619925
373.xyz,20,-1547.094597,-77.35472985,2.588185700999478,0.017961407897830087,31,3.1,1.5132745950421558,6,1,4.180822236742269,0.2332060143110102,0.5,8.99210254,10.23511934,9.63561534,10.23511934,1.1382342777421222
824.xyz,20,-1553.156732,-77.6578366,2.707488030660106,0.16754033507206498,57,5.5,2.1095023109728985,9,2,3.4076027077888305,0.17199635541586836,0.7,8.75253008,9.69610173,4.4012659,9.69610173,2.20302566359374
64.xyz,20,-1550.126944,-77.50634720000001,2.6010785088746604,0.03357775700251336,34,3.4,1.624807680927192,6,1,4.041240268981607,0.13962238907455937,0.7,8.1332484,8.1332484,9.00828276,9.00828276,1.1075873152970468
830.xyz,20,-1551.918312,-77.5959156,2.6919683311887037,0.09478143781597351,55,5.5,2.29128784747792,11,1,3.4532436002240217,0.037479179470809476,0.4,7.31928478,8.12761358,10.79971758,10.79971758,1.4755154232433074
70.xyz,20,-1551.174891,-77.55874455,2.634966821620162,0.03690363664473585,44,4.4,1.4966629547095764,8,3,3.7544237797816877,0.5732725671600936,0.9,5.12392686,5.07882108,11.30511252,11.30511252,2.225932424459418
818.xyz,20,-1555.373209,-77.76866045,2.673291588344849,0.1082899288864722,55,5.4,1.624807680927192,7,3,3.3760484624156573,0.16959969180069429,1.0,8.61399226,8.6882058,3.4002411500000003,8.6882058,2.55517341762657
58.xyz,20,-1550.892601,-77.54463005,2.8052924805889665,0.32031664502421503,59,4.7,2.1931712199461306,10,2,3.2193495658113496,0.13635465152394285,0.7,7.17172493,7.45510342,7.76826108,7.76826108,1.0831788943137841
159.xyz,20,-1551.456898,-77.57284489999999,2.6015162626574138,0.030629608768943214,36,3.6,1.019803902718557,5,2,4.75514221060483,0.32284472958156407,0.4,0.0,12.29525152,9.76625382,12.29525152,1.0
603.xyz,20,-1551.1509,-77.557545,2.667329987902839,0.10316042433915174,48,4.8,2.039607805437114,9,1,3.5050212520144006,0.2416717363109317,0.8,9.89411848,9.42904628,4.36392927,9.89411848,2.267249963929869
165.xyz,20,-1549.495734,-77.47478670000001,2.6868641038069754,0.22937777925361028,42,3.8,1.5684387141358123,7,2,4.315860237460623,0.4592328969979753,0.65,4.4433752,9.674963380000001,9.75088388,9.75088388,2.1944768202334117
171.xyz,20,-1551.426597,-77.57132985,2.647302336679943,0.06494523322099963,47,4.7,2.215851980616034,9,2,3.6552980015250944,0.09707635672009608,0.65,7.72406126,8.9660532,7.21536809,8.9660532,1.2426328204137398
617.xyz,20,-1546.204157,-77.31020785,2.604013260711852,0.019708244611008247,37,3.7,1.6155494421403513,7,2,3.733781908796142,0.340562341472871,0.8,9.6567816,4.51666512,7.77852924,9.6567816,2.1380335587066948
170.xyz,20,-1550.379914,-77.5189957,2.7030966665625678,0.19829392651440161,47,4.5,2.202271554554524,9,1,3.7261358999020477,0.2641718297247931,0.65,7.68431134,9.605180520000001,6.72133311,9.605180520000001,1.4290588433579363
616.xyz,20,-1541.049554,-77.0524777,2.573262634605004,0.020755242287319557,25,2.5,0.806225774829855,4,1,4.9848520894763695,0.17225508657204333,0.7,9.59037002,9.48266908,8.34241943,9.59037002,1.14959096704156
