filename,n_atoms,energy,atom_index,element,x,y,z
788.xyz,20,-1547.417307,1,Au,0.92229686,0.92229686,2.26484
788.xyz,20,-1547.417307,2,Au,-0.92229686,-0.92229686,2.26484
788.xyz,20,-1547.417307,3,Au,0.92229686,-0.92229686,-2.26484
788.xyz,20,-1547.417307,4,Au,-0.92229686,0.92229686,-2.26484
788.xyz,20,-1547.417307,5,Au,-3.09311634,-3.09311634,-3.624345
788.xyz,20,-1547.417307,6,Au,3.09311634,3.09311634,-3.624345
788.xyz,20,-1547.417307,7,Au,-3.09311634,3.09311634,3.624345
788.xyz,20,-1547.417307,8,Au,3.09311634,-3.09311634,3.624345
788.xyz,20,-1547.417307,9,Au,1.61012521,1.61012521,-2.14525878
788.xyz,20,-1547.417307,10,Au,-1.61012521,-1.61012521,-2.14525878
788.xyz,20,-1547.417307,11,Au,1.61012521,-1.61012521,2.14525878
788.xyz,20,-1547.417307,12,Au,-1.61012521,1.61012521,2.14525878
788.xyz,20,-1547.417307,13,Au,-4.43596708,-0.0,-0.0
788.xyz,20,-1547.417307,14,Au,4.43596708,0.0,-0.0
788.xyz,20,-1547.417307,15,Au,-0.0,4.43596708,0.0
788.xyz,20,-1547.417307,16,Au,0.0,-4.43596708,-0.0
788.xyz,20,-1547.417307,17,Au,-1.85808194,0.0,-0.0
788.xyz,20,-1547.417307,18,Au,1.85808194,0.0,0.0
788.xyz,20,-1547.417307,19,Au,0.0,1.85808194,0.0
788.xyz,20,-1547.417307,20,Au,-0.0,-1.85808194,-0.0
950.xyz,20,-1555.845105,1,Au,-1e-08,-1e-08,-0.34250054
950.xyz,20,-1555.845105,2,Au,3e-08,-2e-08,-2.97907965
950.xyz,20,-1555.845105,3,Au,-2.28381435,1.31857881,-2.03776888
950.xyz,20,-1555.845105,4,Au,-1.419e-05,-2.63712933,-2.03776866
950.xyz,20,-1555.845105,5,Au,2.28382856,1.31855416,-2.03776889
950.xyz,20,-1555.845105,6,Au,2.1768099,-1.25676597,-2.01591734
950.xyz,20,-1555.845105,7,Au,-1.545e-05,2.51355511,-2.01591726
950.xyz,20,-1555.845105,8,Au,-2.17679445,-1.25679279,-2.01591732
950.xyz,20,-1555.845105,9,Au,1.31879839,-0.7614089,2.34490116
950.xyz,20,-1555.845105,10,Au,2.5e-07,1.52281738,2.34490117
950.xyz,20,-1555.845105,11,Au,-1.31879864,-0.76140847,2.34490116
950.xyz,20,-1555.845105,12,Au,-2.67265524,1.54305772,2.35451591
950.xyz,20,-1555.845105,13,Au,3.7e-07,-3.08611624,2.3545162
950.xyz,20,-1555.845105,14,Au,2.67265487,1.54305837,2.35451591
950.xyz,20,-1555.845105,15,Au,2.71950615,0.00010489,0.23072912
950.xyz,20,-1555.845105,16,Au,-1.35984392,2.35510898,0.23072881
950.xyz,20,-1555.845105,17,Au,-1.35966229,-2.35521378,0.23072856
950.xyz,20,-1555.845105,18,Au,1.35966193,-2.3552148,0.23073322
950.xyz,20,-1555.845105,19,Au,-2.71950687,0.00010569,0.23073383
950.xyz,20,-1555.845105,20,Au,1.35984495,2.35510919,0.23073347
944.xyz,20,-1554.635058,1,Au,0.0,2.77e-06,2.69410366
944.xyz,20,-1554.635058,2,Au,0.0,4.45e-06,-0.49542683
944.xyz,20,-1554.635058,3,Au,-2.2394561,1.29295121,2.28649314
944.xyz,20,-1554.635058,4,Au,0.0,-2.58590387,2.28649342
944.xyz,20,-1554.635058,5,Au,2.2394561,1.29295121,2.28649314
944.xyz,20,-1554.635058,6,Au,4.0233698,-2.32289356,0.21402994
944.xyz,20,-1554.635058,7,Au,0.0,4.64579711,0.21403327
944.xyz,20,-1554.635058,8,Au,-4.0233698,-2.32289356,0.21402994
944.xyz,20,-1554.635058,9,Au,1.927741,-1.11298172,1.22805576
944.xyz,20,-1554.635058,10,Au,0.0,2.22595724,1.22806387
944.xyz,20,-1554.635058,11,Au,-1.927741,-1.11298172,1.22805576
944.xyz,20,-1554.635058,12,Au,-2.25739383,1.30330701,-0.33659243
944.xyz,20,-1554.635058,13,Au,0.0,-2.6066171,-0.3365912
944.xyz,20,-1554.635058,14,Au,2.25739383,1.30330701,-0.33659243
944.xyz,20,-1554.635058,15,Au,-1.31731934,0.76056138,-2.75196403
944.xyz,20,-1554.635058,16,Au,0.0,-1.5211149,-2.75196736
944.xyz,20,-1554.635058,17,Au,1.31731934,0.76056138,-2.75196403
944.xyz,20,-1554.635058,18,Au,2.22452241,-1.2843289,-1.37291276
944.xyz,20,-1554.635058,19,Au,-0.0,2.56864345,-1.37292803
944.xyz,20,-1554.635058,20,Au,-2.22452242,-1.2843289,-1.37291276
978.xyz,20,-1552.904167,1,Au,3.87104954,-0.29766496,0.2160869
978.xyz,20,-1552.904167,2,Au,-3.87104923,0.29766507,0.21608314
978.xyz,20,-1552.904167,3,Au,-1.03343062,4.68048006,0.01770692
978.xyz,20,-1552.904167,4,Au,1.03342997,-4.68048077,0.01770688
978.xyz,20,-1552.904167,5,Au,1.29695753,-0.06484781,-0.03822624
978.xyz,20,-1552.904167,6,Au,-1.29693322,0.06487084,-0.03820409
978.xyz,20,-1552.904167,7,Au,0.22870042,2.377903,-0.03880929
978.xyz,20,-1552.904167,8,Au,-0.22869986,-2.37790607,-0.03881032
978.xyz,20,-1552.904167,9,Au,-2.83635992,-2.08627556,-0.09070701
978.xyz,20,-1552.904167,10,Au,2.83635609,2.08627366,-0.0907067
978.xyz,20,-1552.904167,11,Au,2.39565807,-2.45422354,0.07352998
978.xyz,20,-1552.904167,12,Au,-2.39565561,2.45422366,0.07353013
978.xyz,20,-1552.904167,13,Au,-1.05356798,1.32565518,2.22324293
978.xyz,20,-1552.904167,14,Au,1.05357095,-1.32565792,2.22325023
978.xyz,20,-1552.904167,15,Au,-1.56878803,-1.34052245,2.13311718
978.xyz,20,-1552.904167,16,Au,1.56876611,1.34051228,2.13309783
978.xyz,20,-1552.904167,17,Au,1.45094451,1.30115202,-2.25557163
978.xyz,20,-1552.904167,18,Au,-1.45094501,-1.30115563,-2.25557828
978.xyz,20,-1552.904167,19,Au,1.19232905,-1.44780235,-2.24037103
978.xyz,20,-1552.904167,20,Au,-1.19233276,1.44780128,-2.24036754
993.xyz,20,-1552.718875,1,Au,-0.0,0.0,3.81643835
993.xyz,20,-1552.718875,2,Au,0.0,-0.0,-3.81643835
993.xyz,20,-1552.718875,3,Au,0.0,0.0,-1.25243168
993.xyz,20,-1552.718875,4,Au,-0.0,0.0,1.25243168
993.xyz,20,-1552.718875,5,Au,0.0,-5.13143101,-0.0
993.xyz,20,-1552.718875,6,Au,0.0,5.13143101,-0.0
993.xyz,20,-1552.718875,7,Au,0.0,-2.5346293,0.0
993.xyz,20,-1552.718875,8,Au,-0.0,2.5346293,-0.0
993.xyz,20,-1552.718875,9,Au,2.25735887,1.29571939,0.00471068
993.xyz,20,-1552.718875,10,Au,-2.25735887,-1.29571939,0.00471068
993.xyz,20,-1552.718875,11,Au,-2.25735887,1.29571939,-0.00471068
993.xyz,20,-1552.718875,12,Au,2.25735887,-1.29571939,-0.00471068
993.xyz,20,-1552.718875,13,Au,-1.31991392,1.93290326,2.39956467
