feature,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson,n_samples
mean_coordination,-0.7209170921905982,8.47270613859583e-161,-0.7396187164801334,1.7911161724300902e-173,0.7209170921905982,998
rdf_bin_6,-0.6315446900808277,3.4322046810736628e-112,-0.7248209642598499,2.339068655733956e-163,0.6315446900808277,998
sphericity_index,-0.548467962671555,1.856778455550121e-79,-0.6642977389882393,4.76500708515056e-128,0.548467962671555,998
min_coordination,-0.5438165321968008,6.892283389406834e-78,-0.5704695996026696,3.1567849831785047e-87,0.5438165321968008,998
radius_of_gyration,0.529394735579872,3.5615952569352455e-73,0.5454424319970869,1.9611460907602827e-78,0.529394735579872,998
min_bond_length,-0.48465089190570954,6.476652922730123e-60,-0.564138733492879,6.236124104396737e-85,0.48465089190570954,998
volume_estimate,0.4580569037915736,6.438471809910984e-53,0.4429057330919217,3.3698887201113834e-49,0.4580569037915736,998
soap_pc_2,0.4415606221755576,7.059714893832348e-49,0.4562826094000458,1.7948730762289816e-52,0.4415606221755576,998
max_coordination,-0.42708948142666825,1.6374870367109308e-45,-0.4107408625146863,6.672579332985057e-42,0.42708948142666825,998
n_bonds,-0.41381749910937465,1.4456397158607118e-42,-0.4228921024465306,1.445876995984087e-44,0.41381749910937465,998
soap_pc_8,-0.402761052217005,3.2740214321530546e-40,-0.36802169040137633,2.2807671338454382e-33,0.402761052217005,998
max_range,0.3940069903853133,2.0781587205945384e-38,0.3925730220945829,4.053472409309321e-38,0.3940069903853133,998
soap_pc_1,-0.3935435603998326,2.5799158927892984e-38,-0.5279110714163106,1.056147051189651e-72,0.3935435603998326,998
y_range,0.3679612347684071,2.3403547787177294e-33,0.37107340696485624,6.159839448773876e-34,0.3679612347684071,998
surface_area_approx,0.33710465192140915,6.0474322804658535e-28,0.6642977389882393,4.76500708515056e-128,0.33710465192140915,998
soap_pc_6,-0.3161129869408725,1.3465872407811599e-24,-0.3314479395743633,5.124136421838694e-27,0.3161129869408725,998
x_range,0.31343882564182524,3.4435699066221346e-24,0.32491379532098924,5.723415695530797e-26,0.31343882564182524,998
mahalanobis_score,0.30366375463830075,9.827705254964277e-23,0.26906914850336594,5.1700738681143546e-18,0.30366375463830075,998
soap_pc_5,-0.28897186642679495,1.1968656253530149e-20,-0.3256462810235832,4.379632164794571e-26,0.28897186642679495,998
surface_count,0.2502396990850414,1.0282296398685853e-15,0.3267828696228325,2.8871693002009334e-26,0.2502396990850414,998
surface_fraction,0.2502396990850414,1.0282296398685853e-15,0.3267828696228325,2.8871693002009334e-26,0.2502396990850414,998
bond_variance,0.24723974906628773,2.2973958765204144e-15,0.2867970039057766,2.3798710184822864e-20,0.24723974906628773,998
soap_pc_10,0.2459449195512023,3.2396786352283942e-15,0.15411598372286742,9.98918076837413e-07,0.2459449195512023,998
mean_bond_length,0.22202513437467972,1.3032815016681211e-12,0.22162879279733683,1.4314744227797045e-12,0.22202513437467972,998
isolation_forest_score,0.2195984626695067,2.308304016261941e-12,0.08501854619449434,0.007202500784337669,0.2195984626695067,998
soap_pc_11,-0.17059389786002885,5.883860790142022e-08,-0.12757421918403725,5.306760101524421e-05,0.17059389786002885,998
soap_pc_3,-0.15934883473345512,4.191080191760734e-07,-0.21494298300108877,6.783451078745678e-12,0.15934883473345512,998
std_bond_length,0.15649392823356584,6.755392732618941e-07,0.2867970039057766,2.3798710184822864e-20,0.15649392823356584,998
soap_pc_4,0.13189873014197548,2.9165874483377177e-05,0.1741736304130455,3.062451866219441e-08,0.13189873014197548,998
soap_pc_7,-0.1293162429966173,4.179195547859613e-05,-0.1352887520769795,1.8004653303734304e-05,0.1293162429966173,998
soap_pc_14,0.12666717079784162,6.0023572061356454e-05,0.0858628890244959,0.006645196408553919,0.12666717079784162,998
z_range,0.11027346401162179,0.00048311669729239186,0.1861237427544635,3.1356866684215903e-09,0.11027346401162179,998
max_bond_length,-0.09624152627603721,0.002337372626053526,-0.18685363386668966,2.7146875830872823e-09,0.09624152627603721,998
anisotropy,0.07743656093903088,0.01440835223780911,-0.08504982379208302,0.007181131297513705,0.07743656093903088,998
anisotropy_tensor,0.07382511084789588,0.019675459839844044,0.0699111560901367,0.02720889624369447,0.07382511084789588,998
triaxial_b_a,0.07177847077340804,0.023350714564579485,0.11988414878115643,0.00014691368730012492,0.07177847077340804,998
