iter	RMSE
0	1.193772381
1	1.183242071
2	1.172215797
3	1.162955358
4	1.151049689
5	1.138449381
6	1.129676925
7	1.119166756
8	1.112616047
9	1.103109537
10	1.093375741
11	1.083967289
12	1.074148068
13	1.065359231
14	1.053206137
15	1.043007309
16	1.030750188
17	1.022488004
18	1.013811633
19	1.005985791
20	0.9976149851
21	0.9897605793
22	0.9808886015
23	0.9725248495
24	0.9666466355
25	0.9598470183
26	0.9514127332
27	0.9440258702
28	0.9379816422
29	0.9300246275
30	0.9234431695
31	0.9155050139
32	0.9088204544
33	0.9032206738
34	0.897035411
35	0.8906120656
36	0.8843289712
37	0.8770795479
38	0.8713691762
39	0.8632974376
40	0.8570391133
41	0.8511471706
42	0.8434060837
43	0.8385231209
44	0.831823529
45	0.8247776904
46	0.8197509223
47	0.8144585063
48	0.8106472405
49	0.8061252426
50	0.8000520056
51	0.7937314649
52	0.7873929991
53	0.7799688376
54	0.7734880668
55	0.7684127375
56	0.7615147077
57	0.7557179401
58	0.7497915231
59	0.7453351532
60	0.739100165
61	0.7331651119
62	0.7296535628
63	0.7249496202
64	0.7195213427
65	0.715845363
66	0.7109052623
67	0.7059985255
68	0.7004751913
69	0.6961339246
70	0.6901529718
71	0.6856650045
72	0.6804173214
73	0.6758124025
74	0.6719128926
75	0.6661533947
76	0.6619656275
77	0.6573285815
78	0.6517727704
79	0.6467539813
80	0.6429412729
81	0.6389803429
82	0.6353655856
83	0.6293248887
84	0.6248727022
85	0.620509286
86	0.6158226634
87	0.6117099401
88	0.6070886187
89	0.6042764678
90	0.6006054122
91	0.596598957
92	0.5925573736
93	0.5882449172
94	0.5860111314
95	0.5836759044
96	0.5800523466
97	0.5783009448
98	0.5732214688
99	0.5691254621
100	0.5658968309
101	0.5629882227
102	0.5593828685
103	0.5561626694
104	0.5530667245
105	0.5498950706
106	0.5468972189
107	0.5442504542
108	0.5400970833
109	0.5373424429
110	0.5337174554
111	0.531587466
112	0.5279847424
113	0.5249106856
114	0.5214807924
115	0.5188537024
116	0.5144413216
117	0.5114025971
118	0.5086249912
119	0.5060326731
120	0.5046366319
121	0.5011264615
122	0.4978153459
123	0.4960158793
124	0.4928998811
125	0.4890673999
126	0.4860481774
127	0.4833973052
128	0.4801718851
129	0.4767805503
130	0.4737665753
131	0.4710290579
132	0.4679306707
133	0.4648922181
134	0.4623671154
135	0.4593615653
136	0.4564953095
137	0.4545555552
138	0.4520431542
139	0.4494200367
140	0.4470150523
141	0.4441908583
142	0.4415928572
143	0.438438524
144	0.4352346315
145	0.4333405319
146	0.4305209493
147	0.4278557799
148	0.4246507094
149	0.4223155896
150	0.4193300887
151	0.4162015936
152	0.413001139
153	0.4101236236
154	0.4085717241
155	0.4057265094
156	0.4028857758
157	0.4005485695
158	0.3982091806
159	0.3952746257
160	0.3923555998
161	0.3898677229
162	0.3883451178
163	0.3853221403
164	0.3834066846
165	0.3807585223
166	0.3775058267
167	0.3750986692
168	0.3722953165
169	0.3698286245
170	0.3672670845
171	0.3649985835
172	0.3624647384
173	0.360984503
174	0.3581365876
175	0.3552525367
176	0.3528903199
177	0.3511694235
178	0.3497242421
179	0.3472278954
180	0.3448511799
181	0.342655267
182	0.3406505317
183	0.3386814383
184	0.3365642077
185	0.3340640355
186	0.3316057908
187	0.3298329925
188	0.3277251449
189	0.3258223629
190	0.323617049
191	0.3214118355
192	0.3187746071
193	0.3167369607
194	0.3146501539
195	0.3128340732
196	0.3107218963
197	0.307348286
198	0.3052459653
199	0.3038954893
200	0.3016966286
201	0.3003614452
202	0.2978094579
203	0.2954930582
204	0.2937994138
205	0.2918696917
206	0.2890651321
207	0.2867810856
208	0.2846904208
209	0.282724102
210	0.2805356103
211	0.2781272347
212	0.2767255273
213	0.2748098133
214	0.273163604
215	0.2714600058
216	0.269617701
217	0.2682103125
218	0.2664126067
219	0.2641633854
220	0.2618666639
221	0.259959151
222	0.2578028056
223	0.2558392039
224	0.2544080147
225	0.2524016182
226	0.2505721849
227	0.2490750994
228	0.2477339407
229	0.2458303713
230	0.2443098095
231	0.2418625286
232	0.2398743065
233	0.2380916499
234	0.237022653
235	0.2356035779
236	0.233821954
237	0.2324140411
238	0.2304442068
239	0.2289065528
240	0.227419265
241	0.225928102
242	0.2238058245
243	0.2221915973
244	0.2205795913
245	0.2191206204
246	0.2175563131
247	0.2157511571
248	0.2147068825
249	0.2132231451
250	0.2114828477
251	0.2100786257
252	0.2084076161
253	0.2068737519
254	0.2052507108
255	0.2035993266
256	0.2022312549
257	0.2006832364
258	0.1991599328
259	0.1978524977
260	0.1968452281
261	0.1953191952
262	0.1945643727
263	0.1930368485
264	0.1920134575
265	0.1908358809
266	0.1893882866
267	0.1879653777
268	0.186858872
269	0.1855146255
270	0.1840622821
271	0.1825687974
272	0.1813591071
273	0.180111171
274	0.1787807615
275	0.1779695435
276	0.1771275957
277	0.176145716
278	0.1748253743
279	0.1741676212
280	0.1728072735
281	0.1717285128
282	0.1709641609
283	0.1693893877
284	0.1688231077
285	0.1678144793
286	0.166801749
287	0.1656988969
288	0.1643938515
289	0.1631458822
290	0.1624581933
291	0.1609453526
292	0.1595406475
293	0.1588472505
294	0.1575445118
295	0.1569725563
296	0.1557884388
297	0.1546937444
298	0.1537806012
299	0.1523482866
300	0.1513068606
301	0.1507630576
302	0.1496651048
303	0.1489024346
304	0.1483072165
305	0.1479825059
306	0.146862723
307	0.1459283657
308	0.145058505
309	0.1445495519
310	0.1431912215
311	0.1420909469
312	0.1413774545
313	0.1408946793
314	0.140712385
315	0.1399057121
316	0.1397499002
317	0.1388048129
318	0.1377615786
319	0.1372815699
320	0.1368110974
321	0.136038385
322	0.1347792
323	0.1339891088
324	0.1331393437
325	0.1329859187
326	0.1319975812
327	0.1308558044
328	0.1304109151
329	0.1295378902
330	0.1287115726
331	0.1275862976
332	0.1273836376
333	0.127065271
334	0.1263928126
335	0.1252697983
336	0.1248383623
337	0.1241165726
338	0.1236881501
339	0.1225906221
340	0.1222933727
341	0.1216953603
342	0.1211601074
343	0.1200015265
344	0.1192363971
345	0.1182569831
346	0.1176557935
347	0.1167090866
348	0.1156412451
349	0.1151130594
350	0.1140970109
351	0.1133685368
352	0.1127731326
353	0.1125220707
354	0.1117708356
355	0.1108959187
356	0.1099245656
357	0.1090036626
358	0.1081040206
359	0.1079052996
360	0.1069718153
361	0.106037874
362	0.1050760551
363	0.1041975928
364	0.1037082599
365	0.1029863539
366	0.102112395
367	0.1014555935
368	0.1007371892
369	0.0999231328
370	0.09936535827
371	0.0985380185
372	0.09824070164
373	0.09788375067
374	0.09736798181
375	0.0965372014
376	0.0957249977
377	0.09534337862
378	0.0946834671
379	0.09393257598
380	0.09320278742
381	0.09277627551
382	0.09225408003
383	0.09149550341
384	0.09096312849
385	0.0902642639
386	0.08968417173
387	0.08906742227
388	0.08829967766
389	0.08759808419
390	0.08694903493
391	0.08667799097
392	0.08630020769
393	0.08563925713
394	0.08500405994
395	0.08489000036
396	0.08421471358
397	0.08361610407
398	0.08299257538
399	0.08246175244
400	0.08185070604
401	0.0815014183
402	0.08079083464
403	0.08008360867
404	0.07973091102
405	0.07948949312
406	0.07889375219
407	0.07834830896
408	0.07770339004
409	0.07718785119
410	0.07662072106
411	0.07605437639
412	0.07570940081
413	0.07533533628
414	0.0747638058
415	0.074263045
416	0.0738063462
417	0.07316748537
418	0.07262338309
419	0.0721828577
420	0.07191954779
421	0.07141661897
422	0.07101090102
423	0.07052785491
424	0.07008312959
425	0.06953481636
426	0.0689438839
427	0.0685403889
428	0.06813898648
429	0.06769407847
430	0.06731587888
431	0.06674680076
432	0.06637256601
433	0.06588307359
434	0.0654422811
435	0.06492529423
436	0.06470131213
437	0.06441601898
438	0.0639946436
439	0.06353005365
440	0.06304688117
441	0.06254293057
442	0.06208577186
443	0.0618892773
444	0.06156091319
445	0.06114913568
446	0.06100094684
447	0.06055458674
448	0.06022298749
449	0.06015804164
450	0.05984432208
451	0.05957465445
452	0.05925184735
453	0.05875279891
454	0.05819929308
455	0.05776790638
456	0.05741006529
457	0.05711437214
458	0.05665610754
459	0.05614727514
460	0.05579707666
461	0.05542285264
462	0.05502161806
463	0.05472418905
464	0.05431973087
465	0.05398419146
466	0.05391365967
467	0.05371995353
468	0.05347459532
469	0.05324636503
470	0.05306541629
471	0.05272128659
472	0.05252520856
473	0.05229159987
474	0.05199581027
475	0.05182388427
476	0.05150811009
477	0.05112295493
478	0.05104876079
479	0.05064607868
480	0.05044265529
481	0.05015625573
482	0.05009209331
483	0.04999233396
484	0.04956875961
485	0.0493065888
486	0.0489365255
487	0.04853143171
488	0.04812809788
489	0.0477902496
490	0.04751337633
491	0.04720500554
492	0.046956353
493	0.04665964547
494	0.04632334831
495	0.0459623346
496	0.04563839046
497	0.04527515929
498	0.04494307346
499	0.04474003819
500	0.04441683606
501	0.04421182167
502	0.0438691631
503	0.0435766706
504	0.0433287361
505	0.04294067056
506	0.04266624345
507	0.04242382138
508	0.04209614304
509	0.04203962746
510	0.04170495085
511	0.04163218306
512	0.04143094289
513	0.04119438381
514	0.04095740425
515	0.04076234893
516	0.04067205031
517	0.04031151888
518	0.0399476413
519	0.0397085125
520	0.03942700867
521	0.03913366856
522	0.03900015023
523	0.03880648462
524	0.0385862035
525	0.03832189525
526	0.03803600655
527	0.03776790628
528	0.0374647589
529	0.03740710155
530	0.0371382853
531	0.0368711831
532	0.03656391686
533	0.03634922665
534	0.03628632377
535	0.03613117629
536	0.03592039396
537	0.03573049031
538	0.03544587913
539	0.03526073501
540	0.03519073477
541	0.03504449447
542	0.03489854132
543	0.03466716198
544	0.0344668647
545	0.03427323767
546	0.03402326945
547	0.03380067962
548	0.0335927183
549	0.03340634907
550	0.03315651004
551	0.03303772687
552	0.03282285904
553	0.03261106442
554	0.03243916899
555	0.03225714545
556	0.03209288002
557	0.03199876538
558	0.03185436157
559	0.03158178546
560	0.03139964897
561	0.03113239247
562	0.03093558678
563	0.03075282632
564	0.03052318745
565	0.03035071272
566	0.030119072
567	0.03005878659
568	0.02997143017
569	0.02974317099
570	0.02953944143
571	0.02928356555
572	0.02923939032
573	0.02900106017
574	0.02883695111
575	0.02858116718
576	0.02853785967
577	0.02837369353
578	0.02827129154
579	0.02814434836
580	0.02794156813
581	0.02770957402
582	0.0275534124
583	0.02735103862
584	0.02732117377
585	0.02711820969
586	0.02695669439
587	0.02676281678
588	0.02664635679
589	0.0264694639
590	0.02630377246
591	0.02617413566
592	0.02597503285
593	0.02593947129
594	0.02571743585
595	0.02568502289
596	0.02559118872
597	0.02538506813
598	0.02520909451
599	0.02501981918
600	0.02490293929
601	0.02472285495
602	0.0245560374
603	0.02451776255
604	0.02444411897
605	0.02425710419
606	0.02407173634
607	0.02392151817
608	0.02375011297
609	0.02358242412
610	0.02342041262
611	0.02327324578
612	0.02309901923
613	0.0228789309
614	0.02276916017
615	0.02265885196
616	0.02254951711
617	0.0223611041
618	0.02223237369
619	0.02204199259
620	0.02200888457
621	0.02182282138
622	0.02164291997
623	0.02157277624
624	0.02153708947
625	0.02138852948
626	0.02123696828
627	0.02113852695
628	0.02100292093
629	0.0208398455
630	0.02068971591
631	0.02052275078
632	0.0203635241
633	0.020230842
634	0.02013025054
635	0.01998524856
636	0.01983952678
637	0.01967829417
638	0.01955293516
639	0.01940455747
640	0.01926708432
641	0.01916507421
642	0.01906884843
643	0.01895429996
644	0.0188343992
645	0.01875042111
646	0.01858377131
647	0.01848702198
648	0.0183506842
649	0.01833320539
650	0.01824016893
651	0.0181135251
652	0.01797178691
653	0.01785190862
654	0.01774342473
655	0.017633101
656	0.01748926974
657	0.0173849254
658	0.01733314821
659	0.01722614724
660	0.01711594344
661	0.01701224395
662	0.0168886838
663	0.016767517
664	0.01664315657
665	0.01662164022
666	0.01659785352
667	0.01649124539
668	0.01636650062
669	0.01630145523
670	0.01616913734
671	0.01606043018
672	0.01593883692
673	0.01591936328
674	0.01580999627
675	0.01570998135
676	0.01568846389
677	0.01561124113
678	0.01551567635
679	0.01540893894
680	0.01530495114
681	0.01517811569
682	0.01505533694
683	0.01503365482
684	0.01493199158
685	0.01480655843
686	0.01468961279
687	0.01458793429
688	0.01448292561
689	0.01439498045
690	0.01430918521
691	0.01421086612
692	0.01409433994
693	0.01402283251
694	0.01389414853
695	0.01378225311
696	0.01371012612
697	0.01362656933
698	0.01352111989
699	0.01343937401
700	0.01334461846
701	0.01324801729
702	0.01320461006
703	0.01313703675
704	0.01311820497
705	0.01299804015
706	0.01297899922
707	0.01292035269
708	0.01285188928
709	0.01276532151
710	0.01268120487
711	0.01257562833
712	0.01248317984
713	0.01242924982
714	0.01233039028
715	0.01231755107
716	0.01226084014
717	0.01219760917
718	0.01211734636
719	0.01204456869
720	0.01194982947
721	0.01184678522
722	0.01175536302
723	0.01170888213
724	0.01161809003
725	0.01154329777
726	0.01151038908
727	0.01143761587
728	0.01138672418
729	0.01129414898
730	0.0112101086
731	0.01116079083
732	0.01110029835
733	0.01103835363
734	0.01096755522
735	0.01088833818
736	0.01084315554
737	0.01076812318
738	0.01069137843
739	0.01062590551
740	0.01054935571
741	0.01046914151
742	0.01041675766
743	0.01034548772
744	0.01028227031
745	0.01021352114
746	0.01019867024
747	0.0101568541
748	0.01010844382
749	0.01007501095
750	0.009984556421
751	0.009930335642
752	0.009863637496
753	0.009804848563
754	0.009719919698
755	0.009642932395
756	0.009579504011
757	0.009517678701
758	0.00945495826
759	0.009405197111
760	0.009338110892
761	0.00926924321
762	0.009201006579
763	0.009135219593
764	0.009073610556
765	0.009006143915
766	0.008938507277
767	0.008896741254
768	0.008825950692
769	0.008772730489
770	0.008706037894
771	0.008695376626
772	0.008679878884
773	0.008632786134
774	0.00858880145
775	0.008548454947
776	0.008508156208
777	0.008450128698
778	0.008422118795
779	0.008408866141
780	0.008363665295
781	0.00830828185
782	0.008294018741
783	0.008238753575
784	0.008171570684
785	0.008110164491
786	0.008098120725
787	0.008045908356
788	0.008014211844
789	0.007973522967
790	0.00790609604
791	0.007844174857
792	0.00779225053
793	0.007731848641
794	0.007714504777
795	0.007655003411
796	0.007592534633
797	0.007569508441
798	0.007513692082
799	0.007490749984
800	0.007444307009
801	0.007391188505
802	0.007353702376
803	0.007310782719
804	0.007249649049
805	0.007202332469
806	0.007152441835
807	0.00710373153
808	0.007051596143
809	0.006991092922
810	0.006942118657
811	0.006881485034
812	0.006839033306
813	0.006791083607
814	0.006742107066
815	0.006712010318
816	0.006666139026
817	0.006610776459
818	0.006564720921
819	0.006514095034
820	0.006458941703
821	0.006416604977
822	0.006394432571
823	0.006377527099
824	0.006321052388
825	0.006280483589
826	0.006237268905
827	0.006197513988
828	0.006155496372
829	0.006110689645
830	0.006080630183
831	0.006047334792
832	0.006035903022
833	0.005986991362
834	0.005951198441
835	0.005912310232
836	0.005860676426
837	0.005823981827
838	0.005811336252
839	0.005761106434
840	0.005723261226
841	0.005681070749
842	0.005640776373
843	0.005602304294
844	0.00556305296
845	0.005541999075
846	0.005498614782
847	0.005483080156
848	0.005442526716
849	0.005411178476
850	0.005375742178
851	0.005345959547
852	0.005311085651
853	0.005267296662
854	0.005232343436
855	0.005194639517
856	0.005153613863
857	0.005127737086
858	0.005084169756
859	0.00505009104
860	0.005008320249
861	0.00497519521
862	0.004933478614
863	0.004897462421
864	0.004864587357
865	0.004837834794
866	0.004808124542
867	0.004769701743
868	0.004744368996
869	0.004721788457
870	0.004691171805
871	0.004662696044
872	0.00463592045
873	0.004603629314
874	0.004560576226
875	0.004529904578
876	0.004507119278
877	0.004476320335
878	0.004455225054
879	0.004432558326
880	0.004400043712
881	0.004364616095
882	0.004336434197
883	0.004308549978
884	0.00428741818
885	0.00427105344
886	0.004238982881
887	0.004214149808
888	0.004179527121
889	0.004150781651
890	0.004122913666
891	0.004094358571
892	0.004073560393
893	0.004044729686
894	0.004010456359
895	0.003987483602
896	0.003960622408
897	0.003933686794
898	0.003900174298
899	0.003889167301
900	0.003862629283
901	0.003836942409
902	0.003829854495
903	0.00382240039
904	0.00379406513
905	0.003767533364
906	0.003744581588
907	0.003715483766
908	0.003697615509
909	0.003667893321
910	0.003650400652
911	0.00364235861
912	0.003610709461
913	0.003581369353
914	0.003554715602
915	0.003529367595
916	0.003522366101
