structure_id,energy,n_atoms,cluster_type,neatness_score,compactness,symmetry_score,robustness_score,n_bonds,avg_coordination,max_coordination,min_coordination,atom_1_element,atom_1_x,atom_1_y,atom_1_z,atom_2_element,atom_2_x,atom_2_y,atom_2_z,atom_3_element,atom_3_x,atom_3_y,atom_3_z,atom_4_element,atom_4_x,atom_4_y,atom_4_z,atom_5_element,atom_5_x,atom_5_y,atom_5_z,atom_6_element,atom_6_x,atom_6_y,atom_6_z,atom_7_element,atom_7_x,atom_7_y,atom_7_z,atom_8_element,atom_8_x,atom_8_y,atom_8_z,atom_9_element,atom_9_x,atom_9_y,atom_9_z,atom_10_element,atom_10_x,atom_10_y,atom_10_z,atom_11_element,atom_11_x,atom_11_y,atom_11_z,atom_12_element,atom_12_x,atom_12_y,atom_12_z,atom_13_element,atom_13_x,atom_13_y,atom_13_z,atom_14_element,atom_14_x,atom_14_y,atom_14_z,atom_15_element,atom_15_x,atom_15_y,atom_15_z,atom_16_element,atom_16_x,atom_16_y,atom_16_z,atom_17_element,atom_17_x,atom_17_y,atom_17_z,atom_18_element,atom_18_x,atom_18_y,atom_18_z,atom_19_element,atom_19_x,atom_19_y,atom_19_z,atom_20_element,atom_20_x,atom_20_y,atom_20_z
722.xyz,-1555.433279,20,Au20,0.44945625414781265,0.4848609614085933,0.55,0.6314382065139936,67,6.7,11,6,Au,2.18928224,-2.4e-07,0.85930171,Au,-2.18928224,-2.4e-07,-0.85930175,Au,3.01929796,-2.2e-07,-1.6850928,Au,-3.01929883,-2.5e-07,1.68509295,Au,-0.47576346,-8.01e-06,1.1804322,Au,0.47576438,-7.16e-06,-1.1804339,Au,1.05805388,-2.5e-07,3.27112979,Au,-1.05805346,-2.2e-07,-3.27112927,Au,1.27341887,1.39100624,-3.23779745,Au,-1.27341919,1.39100679,3.23779828,Au,-1.27341781,-1.39100506,3.23779474,Au,1.27341763,-1.39100468,-3.23779426,Au,-1.79484655,-2.23128461,0.7307978,Au,1.79484666,-2.23128472,-0.73079782,Au,1.79484846,2.23128768,-0.73079695,Au,-1.79484859,2.23128795,0.73079682,Au,0.79867903,-2.23322775,1.71246808,Au,-0.79867914,-2.23322794,-1.71246817,Au,-0.79868125,2.23323124,-1.71246874,Au,0.79868141,2.23323146,1.71246872
931.xyz,-1555.433278,20,Au20,0.44949037097230204,0.4849455100558205,0.55,0.6314466613040896,67,6.7,11,6,Au,-0.28429804,-2.18e-05,-1.2405421,Au,0.28429804,2.18e-05,1.2405421,Au,-2.28791741,-5.5e-07,0.54624455,Au,1.63416209,-2.23325367,0.94846944,Au,1.63415422,2.23324347,0.94847229,Au,-1.63416209,2.23325367,-0.94846944,Au,2.28791741,5.5e-07,-0.54624455,Au,-1.63415422,-2.23324347,-0.94847229,Au,-1.51464921,3.8e-07,3.10824631,Au,0.80520656,-1.39128206,3.38436007,Au,0.80520449,1.39128122,3.38435593,Au,-0.80520656,1.39128206,-3.38436007,Au,1.51464921,-3.8e-07,-3.10824631,Au,-0.80520449,-1.39128122,-3.38435593,Au,-2.73795148,-1.53e-06,-2.07981318,Au,1.05483908,-2.23158346,-1.62563105,Au,1.05484476,2.23159301,-1.62563046,Au,-1.05483908,2.23158346,1.62563105,Au,2.73795148,1.53e-06,2.07981318,Au,-1.05484476,-2.23159301,1.62563046
10.xyz,-1555.417784,20,Au20,0.17458498148105456,0.23191421726078937,0.0,0.6853095703927455,60,6.0,9,3,Au,-2.28259657,0.12722234,-1.87854145,Au,2.28259657,-0.12722234,-1.87854145,Au,-0.04120866,-1.3165395,-2.29404975,Au,0.04120866,1.3165395,-2.29404975,Au,3.49409418,0.82504068,0.2732279,Au,-3.49409418,-0.82504068,0.2732279,Au,-0.02441881,3.35664321,-0.30098775,Au,0.02441881,-3.35664321,-0.30098775,Au,0.88499044,0.96302652,0.31445822,Au,-0.88499044,-0.96302652,0.31445822,Au,-1.88091976,1.48191708,0.39905012,Au,1.88091976,-1.48191708,0.39905012,Au,-2.23436133,-2.45160599,-1.46027334,Au,2.23436133,2.45160599,-1.46027334,Au,2.09303324,-2.77205874,-1.9094554,Au,-2.09303324,2.77205874,-1.9094554,Au,-2.26885065,-3.07568799,1.04921874,Au,2.26885065,3.07568799,1.04921874,Au,2.47965764,-4.04401057,0.31941298,Au,-2.47965764,4.04401057,0.31941298
815.xyz,-1555.3829,20,Au20,0.3206972914262577,0.2253622232293501,0.5,0.5708096677774805,55,5.5,7,3,Au,1e-07,-7e-08,0.61179835,Au,3e-08,-2e-08,-2.02222932,Au,-1.05589762,2.42530397,1.02770664,Au,-1.57246324,-2.12706001,1.02771133,Au,2.62830762,-0.2983132,1.02771003,Au,1.05592749,-2.42529102,1.02770667,Au,1.57243677,2.12707952,1.02771134,Au,-2.62831116,0.29828084,1.02771002,Au,2.40262755,1.04552601,-1.32304362,Au,-2.10677012,1.55797423,-1.32303445,Au,-0.29586319,-2.60349444,-1.32304868,Au,-2.40262933,-1.04552681,-1.32303926,Au,2.10677157,-1.55797532,-1.3230301,Au,0.29586346,2.60349638,-1.32304432,Au,-3.60899335,2.66807692,0.5304053,Au,-0.50613774,-4.45957964,0.53040318,Au,4.11517119,1.79147755,0.53039627,Au,3.60897648,-2.66806438,0.53040725,Au,0.50613512,4.45955841,0.53040515,Au,-4.11515161,-1.79146893,0.53039825
818.xyz,-1555.373209,20,Au20,0.3303265020512731,0.2402125585120582,0.5,0.5692872937215763,54,5.4,7,3,Au,3.7e-07,-1.13e-06,2.60909855,Au,2e-08,-3e-08,-0.7911426,Au,0.71920415,-2.52248098,-0.15457904,Au,1.82455045,1.88396633,-0.15479398,Au,-2.54373154,0.63844193,-0.15487001,Au,-0.71920433,2.5224817,-0.15457971,Au,-1.82455008,-1.88396607,-0.15479358,Au,2.54373103,-0.63844186,-0.15486953,Au,-3.21699906,3.11599911,0.33376948,Au,-1.09007765,-4.34410292,0.33390737,Au,4.30699613,1.22805548,0.33248776,Au,3.21699909,-3.11599914,0.33376948,Au,1.09007764,4.34410288,0.33390739,Au,-4.30699613,-1.22805545,0.33248774,Au,-1.89777716,1.83802087,2.20638767,Au,-0.64298265,-2.56266797,2.20656813,Au,2.54097406,0.72459161,2.2056312,Au,1.89777705,-1.83802078,2.20638766,Au,0.64298269,2.56266807,2.20656817,Au,-2.54097408,-0.72459165,2.20563118
930.xyz,-1555.330285,20,Au20,0.26646566207859723,0.30507895966192683,0.15000000000000002,0.6432699593921185,54,5.4,7,3,Au,-0.1386388,-0.05336145,-4.06200456,Au,0.61386128,0.18385395,4.29282896,Au,3.95264765,-1.1848942,1.56896514,Au,-3.20342184,1.33537375,2.15258614,Au,-2.24293818,-1.09105252,2.34336974,Au,3.14629148,-1.39388008,-2.0399334,Au,-3.31206829,1.48498055,-1.95403145,Au,1.70381273,0.78949192,-2.38572035,Au,-1.89021765,-0.7219266,-2.20737764,Au,0.53821109,-1.71603531,-2.13159221,Au,-0.7189126,1.79635898,-2.27948598,Au,-0.58645616,1.05302041,2.13880086,Au,1.95415222,0.42477404,2.03252826,Au,0.30588147,-1.59395958,2.41272867,Au,-3.15895833,-0.24827316,0.0344892,Au,1.76612984,-1.73147502,0.21557433,Au,0.82881345,1.77376734,-0.04258066,Au,-1.806865,2.15919155,0.08780409,Au,3.20232871,0.53205419,-0.26076399,Au,-0.95365309,-1.79800875,0.08381487
727.xyz,-1555.309712,20,Au20,0.41093310136455896,0.39260186629507027,0.55,0.6220724653596658,63,6.3,10,4,Au,0.76718679,-0.0,1.04957903,Au,-0.7671868,0.0,-1.04957903,Au,1.81386567,0.0,-1.46561821,Au,-1.81386567,-0.0,1.46561821,Au,-3.35198869,0.0,-0.66176709,Au,3.35198869,-0.0,0.66176709,Au,0.0,4.02367018,0.0,Au,-0.0,-4.02367018,-0.0,Au,2.28880763,1.39694494,2.63923658,Au,-2.28880763,1.39694494,-2.63923658,Au,-2.28880763,-1.39694494,-2.63923658,Au,2.28880763,-1.39694494,2.63923658,Au,-0.20346501,2.2666735,1.93958292,Au,0.20346501,2.2666735,-1.93958292,Au,0.20346501,-2.2666735,-1.93958292,Au,-0.20346501,-2.2666735,1.93958292,Au,1.93430352,-2.21727095,0.10808702,Au,-1.93430352,-2.21727095,-0.10808702,Au,-1.93430352,2.21727095,-0.10808702,Au,1.93430352,2.21727095,0.10808702
337.xyz,-1555.288757,20,Au20,0.5175469640920095,0.7960090673656097,0.4,0.6702085917365609,61,6.1,13,4,Au,-1e-08,-1.7e-07,-3.17354416,Au,-0.0,5e-08,-0.58555596,Au,2.28743031,-1.36351019,0.20708286,Au,-3.6e-07,2.688099,0.21285494,Au,-2.28742975,-1.36350919,0.20708146,Au,-2.2874305,1.36351083,0.2070859,Au,3.7e-07,-2.68809929,0.21285669,Au,2.28742995,1.36350981,0.20708447,Au,-2.45389223,3.3e-07,2.46587644,Au,1.31099908,-2.33289829,2.50007467,Au,1.31099923,2.33289806,2.50007431,Au,2.45389223,-1.3e-07,2.46587644,Au,-1.31099913,2.33289819,2.50007454,Au,-1.31099918,-2.33289817,2.50007444,Au,2.45772032,-1.192e-05,-2.04727222,Au,-1.28854165,2.28442068,-2.08311371,Au,-1.28855737,-2.28439839,-2.08311258,Au,-2.45772051,-1.741e-05,-2.04727226,Au,1.28855972,-2.28440625,-2.08311337,Au,1.28853948,2.28441244,-2.08311291
900.xyz,-1555.26791,20,Au20,0.24890871877799486,0.4328960913449668,0.0,0.7136144289620828,58,5.8,10,3,Au,-3.04659511,-2.51120569,-2.22078033,Au,1.92827151,1.71125011,-0.61887605,Au,2.54873553,-2.27171143,1.6069456,Au,-2.17305524,2.46718553,2.30233154,Au,-2.11085417,-1.13898246,-0.20248358,Au,-0.47865278,0.76575321,-1.27066092,Au,0.6376183,-1.43574451,-0.02089002,Au,-0.87969908,0.27887963,1.59909776,Au,3.91686443,0.99514297,-2.17891414,Au,-2.78171457,0.09996566,-2.41241767,Au,-0.52810681,4.47679001,2.38469368,Au,0.57508382,-3.91939312,1.22952501,Au,0.3397902,2.10123226,3.0674394,Au,1.71619482,-0.39992183,-2.29088196,Au,-2.68789123,1.42531763,-0.03392514,Au,3.27548711,-0.50323464,-0.15066355,Au,-1.12779541,-3.50042388,-0.70110091,Au,-0.24412983,2.67011147,0.51350151,Au,-0.62257053,-1.56475571,-2.4454784,Au,1.74301905,0.25374478,1.84353817
961.xyz,-1555.249173,20,Au20,0.7751256022910902,0.7856049460191606,1.0,0.5413150476574716,54,5.4,6,5,Au,0.0,0.0,-2.94684281,Au,-0.0,0.0,2.94684284,Au,2.72809339,-1.277e-05,2.6e-07,Au,-1.41927868,2.36466706,0.00015574,Au,-1.41926222,-2.36466752,-0.00015511,Au,-2.72809339,1.277e-05,2.6e-07,Au,1.41927868,-2.36466706,0.00015573,Au,1.41926222,2.36466752,-0.00015512,Au,2.27982819,-1.30231698,2.28202004,Au,0.00043854,2.54357955,2.21874193,Au,-2.28203401,-1.30545368,2.28229584,Au,-2.27982819,1.30231699,2.28202004,Au,-0.00043854,-2.54357955,2.21874193,Au,2.28203401,1.30545368,2.28229584,Au,-2.28209005,1.30549777,-2.28231272,Au,2.27977243,1.30227276,-2.28200369,Au,0.000459,-2.54357932,-2.21874229,Au,2.28209005,-1.30549777,-2.28231272,Au,-2.27977244,-1.30227276,-2.28200369,Au,-0.000459,2.54357932,-2.21874229
