filename,n_atoms,energy,energy_per_atom,mean_bond_length,std_bond_length,min_bond_length,max_bond_length,n_bonds,bond_variance,mean_coordination,std_coordination,max_coordination,min_coordination,surface_fraction,surface_threshold,surface_count,radius_of_gyration,asphericity,anisotropy_tensor,triaxial_c_a,triaxial_b_a,gyration_eigenvals,rdf_bin_1,rdf_bin_2,rdf_bin_3,rdf_bin_4,rdf_bin_5,rdf_bin_6,rdf_bin_7,rdf_bin_8,rdf_bin_9,rdf_bin_10,rdf_bin_11,rdf_bin_12,rdf_bin_13,rdf_bin_14,rdf_bin_15,rdf_bin_16,rdf_bin_17,rdf_bin_18,rdf_bin_19,rdf_bin_20,sphericity_index,equiv_radius,surface_area_approx,x_range,y_range,z_range,max_range,anisotropy,volume_estimate,compactness,soap_pc_1,soap_pc_2,soap_pc_3,soap_pc_4,soap_pc_5,soap_pc_6,soap_pc_7,soap_pc_8,soap_pc_9,soap_pc_10,soap_pc_11,soap_pc_12,soap_pc_13,soap_pc_14,soap_pc_15,mahalanobis_score,mahalanobis_outlier,isolation_forest_score,isolation_forest_outlier
788.xyz,20,-1547.417307,-77.37086535,2.8514921976327336,0.43953830477409506,2.5663634640306197,3.71616388,48,0.1931939213636853,3.8,2.4000000000000004,7,1,1.0,9.0,20,3.7952283550170414,0.011858901187416202,1.0746966897768606,0.9646217374920437,1.0,[4.91512792 4.91512792 4.57350243],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9992017412328793,3.908761367896665,192.14761422575543,8.87193416,8.87193416,7.24869,8.87193416,1.223936209163311,570.5532024178494,0.03505369861196975,4.305826303949247,5.639681613293997,-6.333025379529312,-0.5908481233288612,-2.6227805355257074,0.20074247147741248,0.9402138056277883,-3.0414250359097923,0.40105976126996823,-0.500599600863465,-1.550941036290244,-0.4172232083730626,0.7486210299808431,0.3599442939163271,0.33282168649636446,25.152693590089445,False,0.3971666365829278,False
950.xyz,20,-1555.845105,-77.79225525000001,2.811403708247976,0.32075323674128414,2.5776304516056285,3.766177291685647,73,0.10288263888001027,6.7,2.3685438564654024,16,4,0.95,9.0,19,3.0562120328188027,0.03868898430211092,1.120738349288546,0.9445998746046217,0.9446000081190263,[3.35439188 2.99302048 2.99301963],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8302032108709974,3.908761367896665,104.90323127383651,5.43901302,5.5996713499999995,5.33359585,5.5996713499999995,1.0498867007330523,162.4436507495023,0.12311961659621885,4.9538331403930655,3.140341137248973,1.106008470221119,3.5359245546324165,0.3846584813611401,5.109605766497707,2.3655012248212355,6.661671269874181,-1.7276343948446975,-0.5255048771078322,1.9738397846192657,0.22445667102923697,-0.8906603287984505,0.3293652347006355,-0.20158141311678662,41.08933257299619,False,0.4519521789900078,False
944.xyz,20,-1554.635058,-77.7317529,2.8007171560390796,0.3389247287192066,2.611446502084234,3.855482,67,0.11486997173738778,6.1,2.5278449319529077,13,2,0.95,9.0,19,3.188716382009425,0.04138758823712826,1.2975905058806587,0.8778719455841423,0.9999995598483563,[3.6698543  3.66985107 2.8282068 ],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5757382656921997,3.908761367896665,121.84398569757272,8.0467396,7.2524142099999995,5.44607102,8.0467396,1.477531154193432,317.8233844258738,0.06292803166607563,15.615357812513787,-3.3908881262993473,7.086133945183095,-12.462820560903038,-5.992919078919792,3.7619664199395535,-0.8954874147745783,-1.4528836793046205,-1.1574885765251375,-0.029384478464837382,0.06040813448504696,0.27006170691379033,-0.4477410559695841,0.37531741458772705,2.554024433581897,36.54035966379376,False,0.43245324876824004,False
978.xyz,20,-1552.904167,-77.64520834999999,2.9172355660934612,0.4372410009678114,2.597080798599963,3.8150459563911077,73,0.1911796929273336,6.0,2.4083189157584592,11,2,0.9,9.0,18,3.2203457073163833,0.19039574037198811,2.427459809940617,0.6418358569937286,0.8721890114961804,[4.77322423 3.63105693 1.96634532],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.582195030702134,3.908761367896665,121.34675370767454,7.74209877,9.36096083,4.47882851,9.36096083,2.090046718488894,324.59630334828216,0.061614996206301356,5.31104312139362,-2.7533125395522764,-3.477840561166739,2.3435419733906264,1.576234382430401,5.921487862039031,-2.9696484684060214,0.8079711026587038,-1.2880904108261215,1.876040801908606,-1.4316760180774104,-0.1690011427184245,0.028255745719381234,0.9139913252747051,-0.7309433581814521,13.63308272396723,False,0.42638146972761093,False
993.xyz,20,-1552.718875,-77.63594375,2.7061714316574466,0.11094135683266533,2.50486336,2.8904955836146886,59,0.012307984655872777,5.9,2.7367864366808017,12,1,0.9,9.0,18,3.2773561076654296,0.21358259590946002,2.986483017977157,0.5786553532503053,0.8759150569748861,[5.10975711 3.92034457 1.71096138],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5290345880401994,3.908761367896665,125.56565574765843,4.51471774,10.26286202,7.6328767,10.26286202,2.2732012522226914,353.6611382684237,0.0565513081175879,-0.14631022432592752,5.449105083030872,-0.1795082537500064,0.19381509000812888,3.6663119236226014,6.996881813002837,2.7989899634474535,-0.6582692930095346,-3.436438481301233,0.7806817245087319,1.0616930143345702,-1.520580692583279,-2.027497716805687,-1.8107658280376313,0.14568975299795925,47.99301718566992,False,0.48732788496167573,False
987.xyz,20,-1553.639654,-77.6819827,2.7931895523446113,0.36672925980755233,2.609561045572905,3.7221014005989024,56,0.13449034999899523,4.8,1.4696938456699071,6,3,1.0,9.0,20,3.4131107619421157,0.011689428533067439,1.0354843573773427,0.982716456351131,0.9827176854132843,[3.97389099 3.83772184 3.83771224],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3045244747512608,3.908761367896665,147.17564478407104,4.978253690000001,4.97828186,4.90206133,4.97828186,1.0155486691962705,121.48852144375557,0.16462460618234598,6.489843907997874,4.767105882248187,6.411005348598079,-0.9861940042451971,-4.52770852309106,2.3407384718553472,4.823241855708031,-0.6245512917646072,4.1355635991577335,-3.9628300451167036,1.621822677022601,-0.7506407686644353,-0.23902649281774607,-0.8944398026238557,0.9595011456764275,36.2385246322115,False,0.43836332859409927,False
777.xyz,20,-1555.557674,-77.77788369999999,2.836697588380277,0.3899259720462929,2.595883258937664,3.838133779741465,72,0.15204226367624643,6.3,1.676305461424021,9,4,1.0,9.0,20,3.3021475938011435,0.30042189741226405,4.921553024972496,0.45076367993362365,0.8190383409796346,[5.81862895 3.90327481 1.18227497],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.710434696957664,3.908761367896665,112.2487932743746,7.43003196,3.4742938,6.58360173,7.43003196,2.1385733008532557,169.9498454073063,0.11768177812042518,1.3944037971259637,-6.418687157533834,1.5753974146826832,0.4844054920777535,9.622294128239451,0.8879731266757495,-3.3439130024634376,6.96948234340997,-0.15187405753085648,2.023862086286618,-3.5634781757390894,-2.5925051222610183,1.122111837046751,-0.888873297917562,-0.33016735458386676,41.11615345016626,False,0.4670480080159019,False
763.xyz,20,-1546.391135,-77.31955675,2.809066020331862,0.43578031192731165,2.573715883870963,3.6794919546076095,40,0.18990448026346501,3.2,0.39999999999999997,4,3,1.0,9.0,20,4.549384657504846,0.20132601947081633,6.996718053309852,0.3780531084101722,0.9979385861571134,[9.67685002 9.63699515 1.38305559],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0553007704353297,3.908761367896665,181.93318538838693,7.79612086,7.80188232,2.6518207,7.80188232,2.942085156813204,161.29544939782184,0.12399605862054855,-5.501001223365064,6.411724308410733,-1.371015958767628,0.44757997604959754,0.49749559002665605,-6.2410635466040665,0.326762236152597,0.5096014967921056,0.6550930729424304,6.040325178478398,-1.6590214244151422,1.1592980428289466,1.6768045751059089,-2.2033468267334397,0.40399592004467444,39.78276781983962,False,0.46454731769786545,False
549.xyz,20,-1549.479695,-77.47398475,2.8623780924308693,0.4106383363842294,2.547247540000003,3.7231128828081195,56,0.16862384330840754,4.6,2.6153393661244047,9,1,1.0,9.0,20,3.7175972116920413,0.3702365508783639,5.5409338843613885,0.4248234836720516,0.7370171485686595,[8.01808634 4.35537862 1.44706407],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2315196614618829,3.908761367896665,155.90025617634922,12.42723308,4.60126968,7.32970264,12.42723308,2.700826933491106,419.120098840328,0.04771901909467291,-0.21733362607006154,4.887518863764616,-0.8584941125234682,-3.6918880503386053,1.4231209498181254,3.3067136849471264,0.5736098526822277,-3.1313459130783228,-0.5726531725143013,1.324894952523003,-1.6574321993743775,-0.8001852007163582,-1.2667995679098034,-0.5423010395514816,-0.34972357060310344,32.717950805561536,False,0.4158800850149885,False
213.xyz,20,-1554.257775,-77.71288875,2.7994568115532403,0.3689386370902181,2.605603700022011,3.77292082,62,0.13611571793798766,5.4,2.009975124224178,9,3,1.0,9.0,20,3.4625447342451534,0.27508617816564856,5.65807899397541,0.42040270017704556,0.8709364175160412,[6.19511709 4.69918367 1.09491527],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5176264582127212,3.908761367896665,126.50954368193227,3.9154423,7.43546068,7.879301829999999,7.879301829999999,2.0123657115314915,229.3910381546131,0.08718736424937323,-1.8185315885807105,2.5182241994794836,1.8456440655892898,-1.1143586160023782,11.056026210671991,2.469739587304909,2.6441163459787327,0.23082547473662526,-1.1168808707663427,-1.925614261366517,-2.923318164755374,-0.5724831163936857,1.820493902043809,0.23651167249475,0.7935515539949402,20.629332873960724,False,0.4261435884815375,False
575.xyz,20,-1553.700014,-77.6850007,2.917166192567247,0.4683557682615482,2.6043705318415458,3.8627026255048174,71,0.219357125663865,5.9,1.8681541692269408,10,3,0.9,9.0,18,3.154244218642139,0.08587956564554,1.3393651056800437,0.8640731495109799,0.9020148204883498,[3.88604409 3.16180491 2.90140759],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69123233219838,3.908761367896665,113.52327356381079,7.91523238,4.82530039,7.06678365,7.91523238,1.6403605455120691,269.9043101452816,0.0741003357393351,11.82555094614189,-0.33932646089558377,8.62424889853388,3.1399046991406636,-3.9066405257374046,0.8450662356122117,-0.08628761596718837,0.05785038237021027,-0.5576725821978912,-0.9727892982481916,0.09639489568011167,-2.0205273247162214,2.310070575215216,1.4474776478835139,-2.2843897521038645,24.100852986529976,False,0.4195787818331044,False
