structure_id,energy,n_atoms,cluster_type,neatness_score,compactness,symmetry_score,n_bonds,avg_coordination,atom_1_element,atom_1_x,atom_1_y,atom_1_z,atom_2_element,atom_2_x,atom_2_y,atom_2_z,atom_3_element,atom_3_x,atom_3_y,atom_3_z,atom_4_element,atom_4_x,atom_4_y,atom_4_z,atom_5_element,atom_5_x,atom_5_y,atom_5_z,atom_6_element,atom_6_x,atom_6_y,atom_6_z,atom_7_element,atom_7_x,atom_7_y,atom_7_z,atom_8_element,atom_8_x,atom_8_y,atom_8_z,atom_9_element,atom_9_x,atom_9_y,atom_9_z,atom_10_element,atom_10_x,atom_10_y,atom_10_z,atom_11_element,atom_11_x,atom_11_y,atom_11_z,atom_12_element,atom_12_x,atom_12_y,atom_12_z,atom_13_element,atom_13_x,atom_13_y,atom_13_z,atom_14_element,atom_14_x,atom_14_y,atom_14_z,atom_15_element,atom_15_x,atom_15_y,atom_15_z,atom_16_element,atom_16_x,atom_16_y,atom_16_z,atom_17_element,atom_17_x,atom_17_y,atom_17_z,atom_18_element,atom_18_x,atom_18_y,atom_18_z,atom_19_element,atom_19_x,atom_19_y,atom_19_z,atom_20_element,atom_20_x,atom_20_y,atom_20_z
structure_115,-1555.19279,20,Au20,0.8343341482107931,0.896232557806035,1.0,52,5.2,Au,2.72609496,0.03037687,0.0,Au,-2.72609494,-0.03037689,-0.0,Au,0.03040963,2.73104102,0.0,Au,-0.03040966,-2.73104101,-0.0,Au,-1.8677401,-0.0071232,-2.51487101,Au,1.8677401,0.0071232,-2.51487101,Au,-0.00715596,-1.88368847,-2.51787313,Au,0.00715596,1.88368847,-2.51787313,Au,1.8677401,0.0071232,2.51487101,Au,-1.8677401,-0.0071232,2.51487101,Au,-0.00715596,-1.88368847,2.51787313,Au,0.00715596,1.88368847,2.51787313,Au,2.29993393,2.30016739,1.31033384,Au,-2.29993393,-2.30016739,1.31033384,Au,-2.27435789,2.27445662,1.30092211,Au,2.27435789,-2.27445662,1.30092211,Au,-2.27435789,2.27445662,-1.30092211,Au,2.27435789,-2.27445662,-1.30092211,Au,2.29993393,2.30016739,-1.31033384,Au,-2.29993393,-2.30016739,-1.31033384
structure_113,-1555.23919,20,Au20,0.8289188648436814,0.8779783464837535,1.0,52,5.2,Au,2.8198897,0.0,0.0,Au,-2.8198897,0.0,0.0,Au,0.0,2.8198897,-0.0,Au,0.0,-2.8198897,-0.0,Au,-1.87549286,0.0,2.491656,Au,1.87549286,-0.0,2.491656,Au,0.0,-1.87549286,2.491656,Au,-0.0,1.87549286,2.491656,Au,1.87549286,-0.0,-2.491656,Au,-1.87549286,0.0,-2.491656,Au,0.0,-1.87549286,-2.491656,Au,-0.0,1.87549286,-2.491656,Au,2.29177531,2.29177531,1.30096239,Au,-2.29177531,-2.29177531,1.30096239,Au,-2.29177531,2.29177531,1.30096239,Au,2.29177531,-2.29177531,1.30096239,Au,-2.29177531,2.29177531,-1.30096239,Au,2.29177531,-2.29177531,-1.30096239,Au,2.29177531,2.29177531,-1.30096239,Au,-2.29177531,-2.29177531,-1.30096239
structure_114,-1555.239197,20,Au20,0.8287326859789537,0.8775146961805665,1.0,52,5.2,Au,2.82049815,-5.5e-07,-0.0,Au,-2.82049815,5.5e-07,0.0,Au,-5.5e-07,2.82049865,0.0,Au,5.5e-07,-2.82049865,-0.0,Au,1.87522719,2.069e-05,-2.49110948,Au,-1.87522719,-2.069e-05,-2.49110948,Au,2.069e-05,1.87522984,-2.49111006,Au,-2.069e-05,-1.87522984,-2.49111006,Au,-1.87522719,-2.069e-05,2.49110948,Au,1.87522719,2.069e-05,2.49110948,Au,2.069e-05,1.87522984,2.49111006,Au,-2.069e-05,-1.87522984,2.49111006,Au,-2.29190932,-2.29190933,-1.30076911,Au,2.29190932,2.29190933,-1.30076911,Au,2.29192721,-2.29192722,-1.30072995,Au,-2.29192721,2.29192721,-1.30072994,Au,2.29192721,-2.29192721,1.30072994,Au,-2.29192721,2.29192722,1.30072995,Au,-2.29190932,-2.29190933,1.30076911,Au,2.29190932,2.29190933,1.30076911
structure_961,-1555.249173,20,Au20,0.7751256022910902,0.7856049460191606,1.0,54,5.4,Au,0.0,0.0,-2.94684281,Au,-0.0,0.0,2.94684284,Au,2.72809339,-1.277e-05,2.6e-07,Au,-1.41927868,2.36466706,0.00015574,Au,-1.41926222,-2.36466752,-0.00015511,Au,-2.72809339,1.277e-05,2.6e-07,Au,1.41927868,-2.36466706,0.00015573,Au,1.41926222,2.36466752,-0.00015512,Au,2.27982819,-1.30231698,2.28202004,Au,0.00043854,2.54357955,2.21874193,Au,-2.28203401,-1.30545368,2.28229584,Au,-2.27982819,1.30231699,2.28202004,Au,-0.00043854,-2.54357955,2.21874193,Au,2.28203401,1.30545368,2.28229584,Au,-2.28209005,1.30549777,-2.28231272,Au,2.27977243,1.30227276,-2.28200369,Au,0.000459,-2.54357932,-2.21874229,Au,2.28209005,-1.30549777,-2.28231272,Au,-2.27977244,-1.30227276,-2.28200369,Au,-0.000459,2.54357932,-2.21874229
structure_759,-1554.689836,20,Au20,0.7703076512665519,0.9079167151393166,1.0,56,5.6,Au,-0.54198313,1.91687141,-0.0,Au,0.54198313,-1.91687141,-0.0,Au,-1.92126931,-0.54343729,-0.0,Au,1.92126931,0.54343729,-0.0,Au,-1.56399175,-2.79817943,1.33144442,Au,1.56399175,2.79817943,1.33144442,Au,2.79774864,-1.5645545,1.33147051,Au,-2.79774864,1.5645545,1.33147051,Au,1.56399175,2.79817943,-1.33144442,Au,-1.56399175,-2.79817943,-1.33144442,Au,-2.79774864,1.5645545,-1.33147051,Au,2.79774864,-1.5645545,-1.33147051,Au,-1.81448559,-0.51320498,2.63424118,Au,1.81448559,0.51320498,2.63424118,Au,0.51353761,-1.81571081,2.63471506,Au,-0.51353761,1.81571081,2.63471506,Au,1.81448559,0.51320498,-2.63424118,Au,-1.81448559,-0.51320498,-2.63424118,Au,-0.51353761,1.81571081,-2.63471506,Au,0.51353761,-1.81571081,-2.63471506
structure_761,-1553.63631,20,Au20,0.7815333578009767,0.9762738615863532,1.0,48,4.8,Au,-1.50785211,-2.23174941,-9e-07,Au,1.50785211,2.23174941,-2.18e-06,Au,2.23174975,-1.50785172,2.38e-06,Au,-2.23174975,1.50785172,6.1e-07,Au,-1.95891404,-2.90083765,2.47916391,Au,1.95891416,2.90083808,2.47916443,Au,2.90083659,-1.95891321,2.47916264,Au,-2.900837,1.95891362,2.47916335,Au,1.95891326,2.90083663,-2.47916269,Au,-1.95891338,-2.90083706,-2.47916321,Au,-2.9008376,1.95891397,-2.47916382,Au,2.90083801,-1.95891439,-2.47916453,Au,-1.87169901,-0.36266735,-1.83829377,Au,1.87169885,0.36266823,-1.8382938,Au,0.36266599,-1.87169919,-1.83829375,Au,-0.36266612,1.87169914,-1.83829357,Au,1.87169923,0.3626656,1.83829375,Au,-1.87169908,-0.36266648,1.83829378,Au,-0.36266774,1.87169896,1.83829379,Au,0.36266788,-1.87169891,1.8382936
structure_865,-1553.636314,20,Au20,0.7815076525030876,0.9762093167162214,1.0,48,4.8,Au,-2.47531778,-2.47912184,-2.47501154,Au,2.47531778,2.47912184,-2.47501154,Au,2.47531778,-2.47912184,2.47501154,Au,-2.47531778,2.47912184,2.47501154,Au,-2.47531778,-2.47912184,2.47501154,Au,2.47531778,2.47912184,2.47501154,Au,-2.47531778,2.47912184,-2.47501154,Au,2.47531778,-2.47912184,-2.47501154,Au,-0.0,1.83859792,1.90653723,Au,0.0,-1.83859792,1.90653723,Au,0.0,1.83859792,-1.90653723,Au,0.0,-1.83859792,-1.90653723,Au,1.90452784,0.0,1.90448687,Au,1.90452784,0.0,-1.90448687,Au,-1.90452784,0.0,1.90448687,Au,-1.90452784,-0.0,-1.90448687,Au,1.90652364,1.83837227,-0.0,Au,-1.90652364,1.83837227,-0.0,Au,1.90652364,-1.83837227,-0.0,Au,-1.90652364,-1.83837227,0.0
structure_858,-1553.636311,20,Au20,0.7814506476597103,0.9760681438298178,1.0,48,4.8,Au,-2.47896948,-2.47546835,-2.47512141,Au,2.47896948,2.47546835,-2.47512141,Au,2.47896948,-2.47546835,2.47512141,Au,-2.47896948,2.47546835,2.47512141,Au,-2.47896948,-2.47546835,2.47512141,Au,2.47896948,2.47546835,2.47512141,Au,-2.47896948,2.47546835,-2.47512141,Au,2.47896948,-2.47546835,-2.47512141,Au,-0.0,-1.90454642,-1.9044394,Au,0.0,1.90454642,-1.9044394,Au,0.0,-1.90454642,1.9044394,Au,0.0,1.90454642,1.9044394,Au,-1.83877628,0.0,-1.90654974,Au,-1.83877628,0.0,1.90654974,Au,1.83877628,0.0,-1.90654974,Au,1.83877628,0.0,1.90654974,Au,-1.83827349,-1.90652708,-0.0,Au,1.83827349,-1.90652708,-0.0,Au,-1.83827349,1.90652708,0.0,Au,1.83827349,1.90652708,0.0
structure_869,-1553.636297,20,Au20,0.7813385815266154,0.975790254920223,1.0,48,4.8,Au,2.47579946,2.47468746,2.47903365,Au,-2.47579936,-2.47468758,2.47903375,Au,-2.47579959,2.47468774,-2.47903401,Au,2.47579935,-2.47468746,-2.47903346,Au,2.47579936,2.47468758,-2.47903375,Au,-2.47579946,-2.47468746,-2.47903365,Au,2.47579959,-2.47468774,2.47903401,Au,-2.47579935,2.47468746,2.47903346,Au,2.9e-07,-1.9065539,-1.8392431,Au,1.4e-07,1.90655381,-1.83924315,Au,-1.4e-07,-1.90655381,1.83924315,Au,-2.9e-07,1.9065539,1.8392431,Au,-1.90652762,-2.3e-07,-1.83706407,Au,-1.9065277,3.7e-07,1.83706404,Au,1.9065277,-3.7e-07,-1.83706404,Au,1.90652762,2.3e-07,1.83706407,Au,-1.90458173,-1.90456419,-1.5e-07,Au,1.90458181,-1.90456424,-8.3e-07,Au,-1.90458181,1.90456424,8.3e-07,Au,1.90458173,1.90456419,1.5e-07
structure_860,-1553.647827,20,Au20,0.7775219350474665,0.9667987166209897,1.0,48,4.8,Au,2.47899645,2.47139863,2.48381432,Au,-2.47899645,-2.47139863,2.48381432,Au,-2.47899645,2.47139863,-2.48381432,Au,2.47899645,-2.47139863,-2.48381432,Au,2.47899645,2.47139863,-2.48381432,Au,-2.47899645,-2.47139863,-2.48381432,Au,2.47899645,-2.47139863,2.48381432,Au,-2.47899645,2.47139863,2.48381432,Au,-0.0,1.90494435,1.90439777,Au,0.0,-1.90494435,1.90439777,Au,0.0,1.90494435,-1.90439777,Au,0.0,-1.90494435,-1.90439777,Au,1.83754965,-0.0,1.90251411,Au,1.83754965,0.0,-1.90251411,Au,-1.83754965,0.0,1.90251411,Au,-1.83754965,0.0,-1.90251411,Au,1.83334429,1.95898468,-0.0,Au,-1.83334429,1.95898468,-0.0,Au,1.83334429,-1.95898468,0.0,Au,-1.83334429,-1.95898468,0.0
