structure_id,energy,n_atoms,cluster_type,neatness_score,compactness,symmetry_score,n_bonds,avg_coordination,atom_1_element,atom_1_x,atom_1_y,atom_1_z,atom_2_element,atom_2_x,atom_2_y,atom_2_z,atom_3_element,atom_3_x,atom_3_y,atom_3_z,atom_4_element,atom_4_x,atom_4_y,atom_4_z,atom_5_element,atom_5_x,atom_5_y,atom_5_z,atom_6_element,atom_6_x,atom_6_y,atom_6_z,atom_7_element,atom_7_x,atom_7_y,atom_7_z,atom_8_element,atom_8_x,atom_8_y,atom_8_z,atom_9_element,atom_9_x,atom_9_y,atom_9_z,atom_10_element,atom_10_x,atom_10_y,atom_10_z,atom_11_element,atom_11_x,atom_11_y,atom_11_z,atom_12_element,atom_12_x,atom_12_y,atom_12_z,atom_13_element,atom_13_x,atom_13_y,atom_13_z,atom_14_element,atom_14_x,atom_14_y,atom_14_z,atom_15_element,atom_15_x,atom_15_y,atom_15_z,atom_16_element,atom_16_x,atom_16_y,atom_16_z,atom_17_element,atom_17_x,atom_17_y,atom_17_z,atom_18_element,atom_18_x,atom_18_y,atom_18_z,atom_19_element,atom_19_x,atom_19_y,atom_19_z,atom_20_element,atom_20_x,atom_20_y,atom_20_z
structure_115,-1555.19279,20,Au20,0.8343341482107931,0.896232557806035,1.0,52,5.2,Au,2.72609496,0.03037687,0.0,Au,-2.72609494,-0.03037689,-0.0,Au,0.03040963,2.73104102,0.0,Au,-0.03040966,-2.73104101,-0.0,Au,-1.8677401,-0.0071232,-2.51487101,Au,1.8677401,0.0071232,-2.51487101,Au,-0.00715596,-1.88368847,-2.51787313,Au,0.00715596,1.88368847,-2.51787313,Au,1.8677401,0.0071232,2.51487101,Au,-1.8677401,-0.0071232,2.51487101,Au,-0.00715596,-1.88368847,2.51787313,Au,0.00715596,1.88368847,2.51787313,Au,2.29993393,2.30016739,1.31033384,Au,-2.29993393,-2.30016739,1.31033384,Au,-2.27435789,2.27445662,1.30092211,Au,2.27435789,-2.27445662,1.30092211,Au,-2.27435789,2.27445662,-1.30092211,Au,2.27435789,-2.27445662,-1.30092211,Au,2.29993393,2.30016739,-1.31033384,Au,-2.29993393,-2.30016739,-1.31033384
structure_113,-1555.23919,20,Au20,0.8289188648436814,0.8779783464837535,1.0,52,5.2,Au,2.8198897,0.0,0.0,Au,-2.8198897,0.0,0.0,Au,0.0,2.8198897,-0.0,Au,0.0,-2.8198897,-0.0,Au,-1.87549286,0.0,2.491656,Au,1.87549286,-0.0,2.491656,Au,0.0,-1.87549286,2.491656,Au,-0.0,1.87549286,2.491656,Au,1.87549286,-0.0,-2.491656,Au,-1.87549286,0.0,-2.491656,Au,0.0,-1.87549286,-2.491656,Au,-0.0,1.87549286,-2.491656,Au,2.29177531,2.29177531,1.30096239,Au,-2.29177531,-2.29177531,1.30096239,Au,-2.29177531,2.29177531,1.30096239,Au,2.29177531,-2.29177531,1.30096239,Au,-2.29177531,2.29177531,-1.30096239,Au,2.29177531,-2.29177531,-1.30096239,Au,2.29177531,2.29177531,-1.30096239,Au,-2.29177531,-2.29177531,-1.30096239
structure_114,-1555.239197,20,Au20,0.8287326859789537,0.8775146961805665,1.0,52,5.2,Au,2.82049815,-5.5e-07,-0.0,Au,-2.82049815,5.5e-07,0.0,Au,-5.5e-07,2.82049865,0.0,Au,5.5e-07,-2.82049865,-0.0,Au,1.87522719,2.069e-05,-2.49110948,Au,-1.87522719,-2.069e-05,-2.49110948,Au,2.069e-05,1.87522984,-2.49111006,Au,-2.069e-05,-1.87522984,-2.49111006,Au,-1.87522719,-2.069e-05,2.49110948,Au,1.87522719,2.069e-05,2.49110948,Au,2.069e-05,1.87522984,2.49111006,Au,-2.069e-05,-1.87522984,2.49111006,Au,-2.29190932,-2.29190933,-1.30076911,Au,2.29190932,2.29190933,-1.30076911,Au,2.29192721,-2.29192722,-1.30072995,Au,-2.29192721,2.29192721,-1.30072994,Au,2.29192721,-2.29192721,1.30072994,Au,-2.29192721,2.29192722,1.30072995,Au,-2.29190932,-2.29190933,1.30076911,Au,2.29190932,2.29190933,1.30076911
structure_961,-1555.249173,20,Au20,0.7751256022910902,0.7856049460191606,1.0,54,5.4,Au,0.0,0.0,-2.94684281,Au,-0.0,0.0,2.94684284,Au,2.72809339,-1.277e-05,2.6e-07,Au,-1.41927868,2.36466706,0.00015574,Au,-1.41926222,-2.36466752,-0.00015511,Au,-2.72809339,1.277e-05,2.6e-07,Au,1.41927868,-2.36466706,0.00015573,Au,1.41926222,2.36466752,-0.00015512,Au,2.27982819,-1.30231698,2.28202004,Au,0.00043854,2.54357955,2.21874193,Au,-2.28203401,-1.30545368,2.28229584,Au,-2.27982819,1.30231699,2.28202004,Au,-0.00043854,-2.54357955,2.21874193,Au,2.28203401,1.30545368,2.28229584,Au,-2.28209005,1.30549777,-2.28231272,Au,2.27977243,1.30227276,-2.28200369,Au,0.000459,-2.54357932,-2.21874229,Au,2.28209005,-1.30549777,-2.28231272,Au,-2.27977244,-1.30227276,-2.28200369,Au,-0.000459,2.54357932,-2.21874229
structure_759,-1554.689836,20,Au20,0.7703076512665519,0.9079167151393166,1.0,56,5.6,Au,-0.54198313,1.91687141,-0.0,Au,0.54198313,-1.91687141,-0.0,Au,-1.92126931,-0.54343729,-0.0,Au,1.92126931,0.54343729,-0.0,Au,-1.56399175,-2.79817943,1.33144442,Au,1.56399175,2.79817943,1.33144442,Au,2.79774864,-1.5645545,1.33147051,Au,-2.79774864,1.5645545,1.33147051,Au,1.56399175,2.79817943,-1.33144442,Au,-1.56399175,-2.79817943,-1.33144442,Au,-2.79774864,1.5645545,-1.33147051,Au,2.79774864,-1.5645545,-1.33147051,Au,-1.81448559,-0.51320498,2.63424118,Au,1.81448559,0.51320498,2.63424118,Au,0.51353761,-1.81571081,2.63471506,Au,-0.51353761,1.81571081,2.63471506,Au,1.81448559,0.51320498,-2.63424118,Au,-1.81448559,-0.51320498,-2.63424118,Au,-0.51353761,1.81571081,-2.63471506,Au,0.51353761,-1.81571081,-2.63471506
structure_336,-1555.676499,20,Au20,0.7304041820651637,0.9010348800834822,1.0,67,6.7,Au,-0.0,-0.0,-1.33091222,Au,0.0,-0.0,1.33153258,Au,2.31557959,-1.31851147,7.24e-06,Au,1.1e-06,2.50897706,-0.00012408,Au,-2.315574,-1.31850946,-2.442e-05,Au,-2.31557959,1.31851147,7.25e-06,Au,-1.1e-06,-2.50897706,-0.00012408,Au,2.315574,1.31850946,-2.441e-05,Au,2.56351845,-7.241e-05,2.28823922,Au,-1.30272668,2.25723798,2.30316326,Au,-1.30268744,-2.25730995,2.30316685,Au,-2.56351845,7.24e-05,2.28823922,Au,1.30272668,-2.25723798,2.30316326,Au,1.30268744,2.25730995,2.30316685,Au,-2.56376527,-8.291e-05,-2.28814973,Au,1.30273708,-2.25715162,-2.30329585,Au,1.30278464,2.25707327,-2.3032927,Au,2.56376527,8.287e-05,-2.28814973,Au,-1.30273706,2.25715164,-2.30329585,Au,-1.30278466,-2.25707326,-2.3032927
structure_314,-1555.676499,20,Au20,0.7303937016830155,0.9010077756756234,1.0,67,6.7,Au,-0.0,-0.0,1.33141245,Au,0.0,0.0,-1.33141245,Au,1.2e-07,2.50894163,0.0,Au,-2.3156815,-1.31852594,0.0,Au,2.31568165,-1.3185259,0.0,Au,-1.2e-07,-2.50894163,-0.0,Au,2.3156815,1.31852594,-0.0,Au,-2.31568165,1.3185259,-0.0,Au,2.5635373,3.1e-07,2.28821651,Au,-1.30267637,2.25719939,2.30324665,Au,-1.30267658,-2.25719907,2.30324664,Au,-2.5635373,-3.5e-07,2.28821651,Au,1.30267639,-2.25719937,2.30324665,Au,1.30267656,2.25719908,2.30324664,Au,-1.30267639,2.25719937,-2.30324665,Au,2.5635373,3.5e-07,-2.28821651,Au,-1.30267656,-2.25719909,-2.30324664,Au,1.30267636,-2.25719939,-2.30324665,Au,-2.5635373,-3.1e-07,-2.28821651,Au,1.30267658,2.25719907,-2.30324664
structure_639,-1555.676483,20,Au20,0.7302452180802563,0.9006397495425993,1.0,67,6.7,Au,0.0,-0.0,1.33105529,Au,-0.0,0.0,-1.33105529,Au,2.66979323,0.13312082,0.0,Au,-1.3511712,2.1134066,0.0,Au,-1.24077507,-2.34875577,0.0,Au,-2.66979323,-0.13312082,-0.0,Au,1.3511712,-2.1134066,-0.0,Au,1.24077507,2.34875577,-0.0,Au,2.31370034,-1.2024903,2.3020283,Au,-0.1160585,2.60193494,2.30412036,Au,-2.16188832,-1.37779713,2.28821411,Au,-2.31370034,1.2024903,2.3020283,Au,0.1160585,-2.60193494,2.30412036,Au,2.16188832,1.37779713,2.28821411,Au,-2.31370034,1.2024903,-2.3020283,Au,0.1160585,-2.60193494,-2.30412036,Au,2.16188832,1.37779713,-2.28821411,Au,2.31370034,-1.2024903,-2.3020283,Au,-0.1160585,2.60193494,-2.30412036,Au,-2.16188832,-1.37779713,-2.28821411
structure_319,-1555.676496,20,Au20,0.7302111281911738,0.9005537946984072,1.0,67,6.7,Au,0.0,-0.0,1.33153841,Au,0.0,-0.0,-1.33153841,Au,2.50748902,-5e-08,0.0,Au,-1.31831004,2.31606584,0.0,Au,-1.31831004,-2.31606593,0.0,Au,-2.50748902,5e-08,-0.0,Au,1.31831004,-2.31606584,-0.0,Au,1.31831004,2.31606593,-0.0,Au,1.6e-07,-2.56418822,2.28837896,Au,2.25688077,1.30272073,2.30320894,Au,-2.25688064,1.30272083,2.30320893,Au,-1.6e-07,2.56418822,2.28837896,Au,-2.25688077,-1.30272073,2.30320894,Au,2.25688064,-1.30272083,2.30320893,Au,-2.25688077,-1.30272073,-2.30320894,Au,-1.6e-07,2.56418822,-2.28837896,Au,2.25688064,-1.30272083,-2.30320893,Au,2.25688077,1.30272073,-2.30320894,Au,1.6e-07,-2.56418822,-2.28837896,Au,-2.25688064,1.30272083,-2.30320893
structure_817,-1555.676479,20,Au20,0.7298908376226609,0.89975428653644,1.0,67,6.7,Au,-0.0,0.0,-1.33114253,Au,0.0,-0.0,1.33197013,Au,2.50596358,0.54793593,2.28798901,Au,-1.75759223,1.92684187,2.3038043,Au,-0.78834036,-2.48059331,2.30283215,Au,-2.50596358,-0.54793593,2.28798901,Au,1.75759223,-1.92684187,2.3038043,Au,0.78834036,2.48059331,2.30283215,Au,-1.76090438,1.92837223,-2.30197135,Au,-0.78587864,-2.47755953,-2.30508698,Au,2.50601276,0.54702062,-2.28781398,Au,1.76090438,-1.92837223,-2.30197135,Au,0.78587864,2.47755953,-2.30508698,Au,-2.50601276,-0.54702062,-2.28781398,Au,2.5519395,-0.79568473,0.00065054,Au,-0.53956583,2.44882149,-0.0001765,Au,-1.97531908,-1.77735359,-0.00064097,Au,-2.5519395,0.79568473,0.00065054,Au,0.53956583,-2.44882149,-0.0001765,Au,1.97531908,1.77735359,-0.00064097
