global_rank,structure_id,model_name,predicted_energy,actual_energy,n_atoms,cluster_type,coordinates_xyz
1,structure_113,svr_rbf_conservative,-1556.02921028567,-1555.942377,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.530533 0.000000 -1.198500; Au 2.085486 1.204056 1.428635; Au 1.231100 2.132328 -1.333256; Au 0.000000 2.791088 0.223216; Au -1.249541 2.164268 1.262771; Au -2.413862 1.393644 -0.266508; Au -2.547610 0.000000 -1.161759; Au -2.416816 -1.395350 0.228031; Au -1.357788 -2.351757 -0.682386; Au -0.000000 -2.724969 -0.643851; Au 1.355732 -2.348197 -0.698541; Au 2.276630 -1.314413 -0.963990; Au 4.399223 2.403306 -1.382373; Au 0.578527 3.306790 -3.971202; Au -2.549319 2.880971 3.498711; Au -4.405056 -0.225741 -2.754001; Au -2.453710 -3.422530 -3.050507; Au 1.279626 -4.524892 2.219889; Au 3.860842 -1.621417 -3.083003
2,structure_182,svr_rbf_conservative,-1555.95756812079,-1555.915122,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.492310 0.000000 -1.276084; Au 2.068121 1.194030 1.461905; Au 1.243336 2.153520 1.287038; Au 0.000000 2.619145 -0.989989; Au -1.155531 2.001439 -1.580819; Au -2.325922 1.342872 0.791697; Au -2.495896 0.000000 -1.269056; Au -2.421624 -1.398125 0.144848; Au -1.378759 -2.388080 -0.485900; Au -0.000000 -2.626346 -0.970724; Au 1.380665 -2.391382 -0.463740; Au 2.163318 -1.248992 1.264939; Au 2.699449 1.474716 -4.192635; Au 0.870640 4.976471 -1.231552; Au -2.259346 2.553274 3.926340; Au -5.059137 -0.259260 -1.173849; Au -2.886326 -4.025960 1.581383; Au 1.244938 -4.402232 -2.471939; Au 3.555278 -1.493091 3.488650
3,structure_95,svr_rbf_conservative,-1555.865757331814,-1555.881308,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.638969 0.000000 0.935864; Au 2.243988 1.295567 1.061142; Au 1.238209 2.144642 -1.306656; Au 0.000000 2.694707 -0.760629; Au -1.398798 2.422789 -0.116022; Au -2.168185 1.251802 -1.253781; Au -2.689569 0.000000 -0.778599; Au -2.424257 -1.399645 0.063023; Au -1.328136 -2.300400 -0.885559; Au -0.000000 -2.316340 -1.573077; Au 1.399923 -2.424737 -0.029440; Au 2.033406 -1.173987 -1.525456; Au 4.563163 2.492867 0.056228; Au 0.895667 5.119519 -0.168241; Au -3.298172 3.727246 1.506551; Au -3.286947 -0.168442 -4.025867; Au -2.715206 -3.787275 2.307423; Au 1.391595 -4.920827 0.942830; Au 3.899035 -1.637457 -3.025931
4,structure_176,svr_rbf_conservative,-1555.7959820977833,-1556.299794,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.755188 0.000000 0.498938; Au 2.268444 1.309687 0.989384; Au 1.370086 2.373058 0.575726; Au 0.000000 2.620280 -0.986981; Au -1.242574 2.152202 -1.289976; Au -2.175977 1.256301 -1.235650; Au -2.779684 0.000000 0.336686; Au -2.398863 -1.384984 -0.408991; Au -1.379223 -2.388884 0.480601; Au -0.000000 -2.599471 1.040554; Au 1.315752 -2.278949 0.956654; Au 1.983276 -1.145045 -1.611052; Au 4.373834 2.389437 1.483296; Au 0.832319 4.757434 1.927190; Au -3.271425 3.697019 1.633961; Au -4.189084 -0.214673 3.073352; Au -1.970724 -2.748843 -3.949697; Au 1.285882 -4.547014 2.170523; Au 3.307559 -1.389058 -3.764382
5,structure_142,svr_rbf_conservative,-1555.731194846064,-1555.721965,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.450156 0.000000 -1.355262; Au 2.418476 1.396308 -0.203222; Au 1.373190 2.378435 -0.545337; Au 0.000000 2.559159 -1.136091; Au -1.301612 2.254458 1.031128; Au -2.163686 1.249205 1.264101; Au -2.638684 0.000000 -0.936668; Au -2.416098 -1.394935 0.237961; Au -1.385478 -2.399718 0.402247; Au -0.000000 -2.624009 -0.977024; Au 1.310842 -2.270444 -0.983248; Au 2.210422 -1.276188 1.151250; Au 3.414228 1.865201 3.450228; Au 0.851851 4.869075 1.614454; Au -3.382999 3.823108 -0.989528; Au -3.931059 -0.201450 -3.397969; Au -2.959074 -4.127432 -1.117221; Au 1.400555 -4.952510 0.742351; Au 3.117038 -1.309046 -3.951009
6,structure_56,svr_rbf_conservative,-1555.6046494277366,-1554.665117,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.297492 0.000000 -1.600478; Au 2.371932 1.369436 0.581881; Au 1.366780 2.367332 -0.606342; Au 0.000000 2.598672 1.042547; Au -1.376646 2.384422 0.509291; Au -2.239278 1.292848 -1.074328; Au -2.660610 0.000000 0.872441; Au -2.421592 -1.398107 0.145564; Au -1.245566 -2.157383 -1.278383; Au -0.000000 -2.774090 0.380032; Au 1.366717 -2.367223 0.606908; Au 2.110226 -1.218340 1.379345; Au 3.687415 2.014444 -3.063492; Au 0.648858 3.708790 3.586623; Au -3.313553 3.744628 -1.427631; Au -5.170593 -0.264971 -0.484523; Au -2.394943 -3.340560 -3.185107; Au 1.278838 -4.522106 2.226012; Au 4.764617 -2.000970 0.578396
7,structure_119,svr_rbf_conservative,-1555.4673030062406,-1555.23919,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.536737 0.000000 -1.185313; Au 2.424862 1.399995 0.007631; Au 1.304292 2.259099 1.017493; Au 0.000000 2.660477 -0.872846; Au -1.381122 2.392173 -0.458271; Au -2.058616 1.188542 1.479685; Au -2.350388 0.000000 1.521735; Au -2.412624 -1.392929 0.281060; Au -1.145853 -1.984676 -1.608752; Au -0.000000 -2.437064 1.378666; Au 1.245083 -2.156548 1.280261; Au 2.421849 -1.398255 -0.139756; Au 3.885209 2.122499 -2.727664; Au 0.875495 5.004224 1.109619; Au -3.265494 3.690316 1.660758; Au -3.385172 -0.173476 3.943415; Au -2.890644 -4.031983 1.557977; Au 1.410368 -4.987209 -0.422622; Au 4.770610 -2.003487 -0.517029
8,structure_49,svr_rbf_conservative,-1555.3074476733689,-1555.239135,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.712875 0.000000 0.693044; Au 2.303407 1.329873 0.875074; Au 1.203841 2.085115 -1.429358; Au 0.000000 2.467755 -1.322946; Au -1.363033 2.360843 -0.639189; Au -2.416311 1.395058 -0.235062; Au -2.795125 0.000000 -0.165157; Au -2.266087 -1.308326 0.996560; Au -1.320330 -2.286879 -0.931080; Au -0.000000 -2.460021 -1.337271; Au 1.346043 -2.331415 -0.769851; Au 2.424868 -1.399998 0.004291; Au 4.536384 2.478238 0.565298; Au 0.754425 4.312198 -2.806385; Au -2.743295 3.100182 -3.146935; Au -4.530897 -0.232190 2.541074; Au -1.951015 -2.721351 -3.978415; Au 0.953499 -3.371674 3.842220; Au 4.423067 -1.857532 2.006503
9,structure_64,svr_rbf_conservative,-1555.217013695959,-1555.3829,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.767747 0.000000 0.423767; Au 2.416256 1.395026 -0.235811; Au 1.389911 2.407397 -0.335542; Au 0.000000 2.794444 0.176309; Au -1.397959 2.421335 0.151156; Au -2.357266 1.360968 0.656551; Au -2.723322 0.000000 0.650782; Au -2.344745 -1.353739 0.713836; Au -1.398953 -2.423058 -0.108248; Au -0.000000 -2.776224 0.364117; Au 1.347437 -2.333830 -0.760035; Au 2.420444 -1.397444 -0.169113; Au 4.508926 2.463238 -0.801276; Au 0.725965 4.149526 3.048673; Au -2.176177 2.459286 4.031894; Au -4.430007 -0.227019 2.713577; Au -1.883553 -2.627252 4.073055; Au 1.369699 -4.843399 -1.305916; Au 4.162037 -1.747908 2.581137
10,structure_63,svr_rbf_conservative,-1555.2083449055397,-1555.438576,20,Au20,Au 0.000000 0.000000 0.000000; Au 2.793570 0.000000 -0.189651; Au 2.404291 1.388118 0.364027; Au 1.180290 2.044322 1.505876; Au 0.000000 2.798543 -0.090315; Au -1.269025 2.198015 1.182499; Au -2.424871 1.400000 -0.000036; Au -2.669498 0.000000 0.844854; Au -2.421317 -1.397948 -0.151553; Au -1.397426 -2.420412 -0.169724; Au -0.000000 -2.635405 0.945855; Au 1.217603 -2.108951 1.381944; Au 2.420437 -1.397440 0.169248; Au 3.970805 2.169261 -2.562619; Au 0.843852 4.823353 -1.750193; Au -2.673803 3.021649 -3.280307; Au -5.173544 -0.265123 0.451830; Au -3.003913 -4.189974 -0.678693; Au 0.843081 -2.981221 4.176307; Au 3.648457 -1.532223 -3.373582
