model,feature,coefficient,abs_coefficient,rank
linear,mean_bond_length,3.861561026281197,3.861561026281197,1
linear,bond_variance,-1.8786906307752813,1.8786906307752813,2
linear,n_bonds,-1.6606010063746055,1.6606010063746055,3
linear,radius_of_gyration,1.646146028029702,1.646146028029702,4
linear,std_coordination,0.6709219079031176,0.6709219079031176,5
linear,compactness,-0.6217646831590052,0.6217646831590052,6
linear,mean_coordination,-0.6013877497249426,0.6013877497249426,7
linear,asphericity,-0.5968092432151295,0.5968092432151295,8
linear,surface_fraction,-0.36509457603323175,0.36509457603323175,9
linear,max_coordination,-0.31608644534510794,0.31608644534510794,10
linear,std_bond_length,-0.1784506256894649,0.1784506256894649,11
linear,y_range,0.0857949138782643,0.0857949138782643,12
linear,anisotropy,-0.06749603676752017,0.06749603676752017,13
linear,x_range,-0.02098528902633155,0.02098528902633155,14
linear,z_range,-0.01982117360336582,0.01982117360336582,15
ridge,mean_bond_length,3.8445277957989825,3.8445277957989825,1
ridge,bond_variance,-1.85644539970169,1.85644539970169,2
ridge,n_bonds,-1.655010613170526,1.655010613170526,3
ridge,radius_of_gyration,1.6441469513368592,1.6441469513368592,4
ridge,std_coordination,0.6723289865237411,0.6723289865237411,5
ridge,compactness,-0.6215559246404211,0.6215559246404211,6
ridge,mean_coordination,-0.6040372554927469,0.6040372554927469,7
ridge,asphericity,-0.596129133910375,0.596129133910375,8
ridge,surface_fraction,-0.3660324785012363,0.3660324785012363,9
ridge,max_coordination,-0.31609918667829273,0.31609918667829273,10
ridge,std_bond_length,-0.1882578073626776,0.1882578073626776,11
ridge,y_range,0.08651759954988301,0.08651759954988301,12
ridge,anisotropy,-0.06750605979050531,0.06750605979050531,13
ridge,x_range,-0.020415578973409076,0.020415578973409076,14
ridge,z_range,-0.01946805296245573,0.01946805296245573,15
lasso,mean_bond_length,3.6767842632757315,3.6767842632757315,1
lasso,bond_variance,-1.6541181260999411,1.6541181260999411,2
lasso,radius_of_gyration,1.6096386130059324,1.6096386130059324,3
lasso,n_bonds,-1.605578736832207,1.605578736832207,4
lasso,std_coordination,0.6597317382274924,0.6597317382274924,5
lasso,mean_coordination,-0.6243031583291597,0.6243031583291597,6
lasso,compactness,-0.6074194385680405,0.6074194385680405,7
lasso,asphericity,-0.5881535466951646,0.5881535466951646,8
lasso,surface_fraction,-0.36258463537521246,0.36258463537521246,9
lasso,max_coordination,-0.2878677981423131,0.2878677981423131,10
lasso,std_bond_length,-0.26075584955689957,0.26075584955689957,11
lasso,y_range,0.10250995882812067,0.10250995882812067,12
lasso,anisotropy,-0.061066664814401726,0.061066664814401726,13
lasso,z_range,-0.0006255536046524457,0.0006255536046524457,14
elastic_net,mean_bond_length,3.644900031497462,3.644900031497462,1
elastic_net,bond_variance,-1.613545578146734,1.613545578146734,2
elastic_net,radius_of_gyration,1.6075749524831955,1.6075749524831955,3
elastic_net,n_bonds,-1.5929477958108247,1.5929477958108247,4
elastic_net,std_coordination,0.6654604601934774,0.6654604601934774,5
elastic_net,mean_coordination,-0.6309490594757088,0.6309490594757088,6
elastic_net,compactness,-0.6084557213930852,0.6084557213930852,7
elastic_net,asphericity,-0.5870881631332783,0.5870881631332783,8
elastic_net,surface_fraction,-0.3662404615203555,0.3662404615203555,9
elastic_net,max_coordination,-0.29185256670287957,0.29185256670287957,10
elastic_net,std_bond_length,-0.27988783045017357,0.27988783045017357,11
elastic_net,y_range,0.10309896099420825,0.10309896099420825,12
elastic_net,anisotropy,-0.06190886316837874,0.06190886316837874,13
elastic_net,z_range,-0.001619084733072748,0.001619084733072748,14
