model_name,structure_id,rank,predicted_energy,stability_score,n_atoms,cluster_type,actual_energy,prediction_error,atom_1_element,atom_1_x,atom_1_y,atom_1_z,atom_2_element,atom_2_x,atom_2_y,atom_2_z,atom_3_element,atom_3_x,atom_3_y,atom_3_z,atom_4_element,atom_4_x,atom_4_y,atom_4_z,atom_5_element,atom_5_x,atom_5_y,atom_5_z,atom_6_element,atom_6_x,atom_6_y,atom_6_z,atom_7_element,atom_7_x,atom_7_y,atom_7_z,atom_8_element,atom_8_x,atom_8_y,atom_8_z,atom_9_element,atom_9_x,atom_9_y,atom_9_z,atom_10_element,atom_10_x,atom_10_y,atom_10_z,atom_11_element,atom_11_x,atom_11_y,atom_11_z,atom_12_element,atom_12_x,atom_12_y,atom_12_z,atom_13_element,atom_13_x,atom_13_y,atom_13_z,atom_14_element,atom_14_x,atom_14_y,atom_14_z,atom_15_element,atom_15_x,atom_15_y,atom_15_z,atom_16_element,atom_16_x,atom_16_y,atom_16_z,atom_17_element,atom_17_x,atom_17_y,atom_17_z,atom_18_element,atom_18_x,atom_18_y,atom_18_z,atom_19_element,atom_19_x,atom_19_y,atom_19_z,atom_20_element,atom_20_x,atom_20_y,atom_20_z,global_rank
linear,structure_130,1,-1557.2643386037068,1557.2643386037068,20,Au20,-1555.438587,-1.825751603706749,Au,0.0,0.0,0.0,Au,2.5208368181262344,0.0,1.2187623789644972,Au,2.357190253798146,1.3609244275615215,0.6569161360975814,Au,1.396682697227833,2.4191253936509454,-0.19263897076537612,Au,1.528428479674345e-16,2.496113133580223,1.2686288757427517,Au,-1.399958633178046,2.424799481159057,0.02152444101534975,Au,-2.093170030795366,1.2084922807393614,-1.413571940006416,Au,-2.7681429207217687,3.3899973674443197e-16,0.4211707141503961,Au,-2.1625778479489424,-1.2485649026568428,1.2666265177288956,Au,-1.133914102343667,-1.9639968366780844,-1.642240918387017,Au,-4.848297386739464e-16,-2.639290169277127,-0.93495850301343,Au,1.3418753542005133,-2.324196290899772,-0.7984247836565384,Au,2.016830785886451,-1.1644177971414684,1.554517537630518,Au,3.8046500016585334,2.0784897688902384,-2.871326983382131,Au,0.5945194232442287,3.3981992654982194,3.8908595974864877,Au,-3.4149630052805233,3.8592304138369142,-0.695965721484599,Au,-4.957159239799974,-0.254033781564813,1.5498513183817406,Au,-2.611267577499286,-3.6422975144174377,2.6372240054969858,Au,1.24322022179908,-4.396156865244445,-2.483587787108396,Au,3.185745066287469,-1.3379001587964148,-3.8860071458654804,1
ridge,structure_130,1,-1557.261919002658,1557.261919002658,20,Au20,-1555.438587,-1.823332002657935,Au,0.0,0.0,0.0,Au,2.5208368181262344,0.0,1.2187623789644972,Au,2.357190253798146,1.3609244275615215,0.6569161360975814,Au,1.396682697227833,2.4191253936509454,-0.19263897076537612,Au,1.528428479674345e-16,2.496113133580223,1.2686288757427517,Au,-1.399958633178046,2.424799481159057,0.02152444101534975,Au,-2.093170030795366,1.2084922807393614,-1.413571940006416,Au,-2.7681429207217687,3.3899973674443197e-16,0.4211707141503961,Au,-2.1625778479489424,-1.2485649026568428,1.2666265177288956,Au,-1.133914102343667,-1.9639968366780844,-1.642240918387017,Au,-4.848297386739464e-16,-2.639290169277127,-0.93495850301343,Au,1.3418753542005133,-2.324196290899772,-0.7984247836565384,Au,2.016830785886451,-1.1644177971414684,1.554517537630518,Au,3.8046500016585334,2.0784897688902384,-2.871326983382131,Au,0.5945194232442287,3.3981992654982194,3.8908595974864877,Au,-3.4149630052805233,3.8592304138369142,-0.695965721484599,Au,-4.957159239799974,-0.254033781564813,1.5498513183817406,Au,-2.611267577499286,-3.6422975144174377,2.6372240054969858,Au,1.24322022179908,-4.396156865244445,-2.483587787108396,Au,3.185745066287469,-1.3379001587964148,-3.8860071458654804,2
lasso,structure_130,1,-1557.2137329782754,1557.2137329782754,20,Au20,-1555.438587,-1.7751459782753045,Au,0.0,0.0,0.0,Au,2.5208368181262344,0.0,1.2187623789644972,Au,2.357190253798146,1.3609244275615215,0.6569161360975814,Au,1.396682697227833,2.4191253936509454,-0.19263897076537612,Au,1.528428479674345e-16,2.496113133580223,1.2686288757427517,Au,-1.399958633178046,2.424799481159057,0.02152444101534975,Au,-2.093170030795366,1.2084922807393614,-1.413571940006416,Au,-2.7681429207217687,3.3899973674443197e-16,0.4211707141503961,Au,-2.1625778479489424,-1.2485649026568428,1.2666265177288956,Au,-1.133914102343667,-1.9639968366780844,-1.642240918387017,Au,-4.848297386739464e-16,-2.639290169277127,-0.93495850301343,Au,1.3418753542005133,-2.324196290899772,-0.7984247836565384,Au,2.016830785886451,-1.1644177971414684,1.554517537630518,Au,3.8046500016585334,2.0784897688902384,-2.871326983382131,Au,0.5945194232442287,3.3981992654982194,3.8908595974864877,Au,-3.4149630052805233,3.8592304138369142,-0.695965721484599,Au,-4.957159239799974,-0.254033781564813,1.5498513183817406,Au,-2.611267577499286,-3.6422975144174377,2.6372240054969858,Au,1.24322022179908,-4.396156865244445,-2.483587787108396,Au,3.185745066287469,-1.3379001587964148,-3.8860071458654804,3
elastic_net,structure_130,1,-1557.211492819452,1557.211492819452,20,Au20,-1555.438587,-1.7729058194518075,Au,0.0,0.0,0.0,Au,2.5208368181262344,0.0,1.2187623789644972,Au,2.357190253798146,1.3609244275615215,0.6569161360975814,Au,1.396682697227833,2.4191253936509454,-0.19263897076537612,Au,1.528428479674345e-16,2.496113133580223,1.2686288757427517,Au,-1.399958633178046,2.424799481159057,0.02152444101534975,Au,-2.093170030795366,1.2084922807393614,-1.413571940006416,Au,-2.7681429207217687,3.3899973674443197e-16,0.4211707141503961,Au,-2.1625778479489424,-1.2485649026568428,1.2666265177288956,Au,-1.133914102343667,-1.9639968366780844,-1.642240918387017,Au,-4.848297386739464e-16,-2.639290169277127,-0.93495850301343,Au,1.3418753542005133,-2.324196290899772,-0.7984247836565384,Au,2.016830785886451,-1.1644177971414684,1.554517537630518,Au,3.8046500016585334,2.0784897688902384,-2.871326983382131,Au,0.5945194232442287,3.3981992654982194,3.8908595974864877,Au,-3.4149630052805233,3.8592304138369142,-0.695965721484599,Au,-4.957159239799974,-0.254033781564813,1.5498513183817406,Au,-2.611267577499286,-3.6422975144174377,2.6372240054969858,Au,1.24322022179908,-4.396156865244445,-2.483587787108396,Au,3.185745066287469,-1.3379001587964148,-3.8860071458654804,4
svr_linear,structure_130,1,-1557.2028030916065,1557.2028030916065,20,Au20,-1555.438587,-1.7642160916063858,Au,0.0,0.0,0.0,Au,2.5208368181262344,0.0,1.2187623789644972,Au,2.357190253798146,1.3609244275615215,0.6569161360975814,Au,1.396682697227833,2.4191253936509454,-0.19263897076537612,Au,1.528428479674345e-16,2.496113133580223,1.2686288757427517,Au,-1.399958633178046,2.424799481159057,0.02152444101534975,Au,-2.093170030795366,1.2084922807393614,-1.413571940006416,Au,-2.7681429207217687,3.3899973674443197e-16,0.4211707141503961,Au,-2.1625778479489424,-1.2485649026568428,1.2666265177288956,Au,-1.133914102343667,-1.9639968366780844,-1.642240918387017,Au,-4.848297386739464e-16,-2.639290169277127,-0.93495850301343,Au,1.3418753542005133,-2.324196290899772,-0.7984247836565384,Au,2.016830785886451,-1.1644177971414684,1.554517537630518,Au,3.8046500016585334,2.0784897688902384,-2.871326983382131,Au,0.5945194232442287,3.3981992654982194,3.8908595974864877,Au,-3.4149630052805233,3.8592304138369142,-0.695965721484599,Au,-4.957159239799974,-0.254033781564813,1.5498513183817406,Au,-2.611267577499286,-3.6422975144174377,2.6372240054969858,Au,1.24322022179908,-4.396156865244445,-2.483587787108396,Au,3.185745066287469,-1.3379001587964148,-3.8860071458654804,5
linear,structure_194,2,-1557.1947646978379,1557.1947646978379,20,Au20,-1555.433278,-1.7614866978378814,Au,0.0,0.0,0.0,Au,2.330168355470393,0.0,-1.552519061127561,Au,2.33400620177092,1.3475391088826965,-0.7593111352578131,Au,1.3941676365445852,2.4147691807634413,-0.25531628394354966,Au,1.7113213815176479e-16,2.7947999091805675,-0.17056807334401616,Au,-1.3660974217153812,2.366150142499888,-0.6124633356621005,Au,-2.3154837527589875,1.336845167959606,-0.831492626312589,Au,-2.5497854317608613,3.1225865675184907e-16,1.1569763402853481,Au,-2.4171525006659804,-1.39554364693188,-0.22323019068276426,Au,-1.3557652353696241,-2.348254270795764,-0.6982854045822532,Au,-5.034779654416852e-16,-2.740806387562663,-0.5726956834966584,Au,1.3614839750029772,-2.3581594183959913,-0.6522618670751593,Au,2.081248825434001,-1.2016095696149145,1.4368499465286726,Au,4.560340473987538,2.4913253554748036,0.1912922750125111,Au,0.851886787449606,4.869279189571021,1.6138181667645737,Au,-2.0458404161973522,2.3119927049977003,4.184402791736339,Au,-4.8745483790609905,-0.2498003187413159,1.7934263020683645,Au,-2.1787083114292733,-3.038947036963172,-3.6135897664568626,Au,1.3626122734262047,-4.818339659742964,1.4024588106808435,Au,4.738264766031893,-1.9899034765770207,0.7931778872910024,6
ridge,structure_194,2,-1557.1937316955248,1557.1937316955248,20,Au20,-1555.433278,-1.7604536955248022,Au,0.0,0.0,0.0,Au,2.330168355470393,0.0,-1.552519061127561,Au,2.33400620177092,1.3475391088826965,-0.7593111352578131,Au,1.3941676365445852,2.4147691807634413,-0.25531628394354966,Au,1.7113213815176479e-16,2.7947999091805675,-0.17056807334401616,Au,-1.3660974217153812,2.366150142499888,-0.6124633356621005,Au,-2.3154837527589875,1.336845167959606,-0.831492626312589,Au,-2.5497854317608613,3.1225865675184907e-16,1.1569763402853481,Au,-2.4171525006659804,-1.39554364693188,-0.22323019068276426,Au,-1.3557652353696241,-2.348254270795764,-0.6982854045822532,Au,-5.034779654416852e-16,-2.740806387562663,-0.5726956834966584,Au,1.3614839750029772,-2.3581594183959913,-0.6522618670751593,Au,2.081248825434001,-1.2016095696149145,1.4368499465286726,Au,4.560340473987538,2.4913253554748036,0.1912922750125111,Au,0.851886787449606,4.869279189571021,1.6138181667645737,Au,-2.0458404161973522,2.3119927049977003,4.184402791736339,Au,-4.8745483790609905,-0.2498003187413159,1.7934263020683645,Au,-2.1787083114292733,-3.038947036963172,-3.6135897664568626,Au,1.3626122734262047,-4.818339659742964,1.4024588106808435,Au,4.738264766031893,-1.9899034765770207,0.7931778872910024,7
elastic_net,structure_194,2,-1557.1571680761965,1557.1571680761965,20,Au20,-1555.433278,-1.7238900761965397,Au,0.0,0.0,0.0,Au,2.330168355470393,0.0,-1.552519061127561,Au,2.33400620177092,1.3475391088826965,-0.7593111352578131,Au,1.3941676365445852,2.4147691807634413,-0.25531628394354966,Au,1.7113213815176479e-16,2.7947999091805675,-0.17056807334401616,Au,-1.3660974217153812,2.366150142499888,-0.6124633356621005,Au,-2.3154837527589875,1.336845167959606,-0.831492626312589,Au,-2.5497854317608613,3.1225865675184907e-16,1.1569763402853481,Au,-2.4171525006659804,-1.39554364693188,-0.22323019068276426,Au,-1.3557652353696241,-2.348254270795764,-0.6982854045822532,Au,-5.034779654416852e-16,-2.740806387562663,-0.5726956834966584,Au,1.3614839750029772,-2.3581594183959913,-0.6522618670751593,Au,2.081248825434001,-1.2016095696149145,1.4368499465286726,Au,4.560340473987538,2.4913253554748036,0.1912922750125111,Au,0.851886787449606,4.869279189571021,1.6138181667645737,Au,-2.0458404161973522,2.3119927049977003,4.184402791736339,Au,-4.8745483790609905,-0.2498003187413159,1.7934263020683645,Au,-2.1787083114292733,-3.038947036963172,-3.6135897664568626,Au,1.3626122734262047,-4.818339659742964,1.4024588106808435,Au,4.738264766031893,-1.9899034765770207,0.7931778872910024,8
lasso,structure_194,2,-1557.1562677501272,1557.1562677501272,20,Au20,-1555.433278,-1.7229897501272262,Au,0.0,0.0,0.0,Au,2.330168355470393,0.0,-1.552519061127561,Au,2.33400620177092,1.3475391088826965,-0.7593111352578131,Au,1.3941676365445852,2.4147691807634413,-0.25531628394354966,Au,1.7113213815176479e-16,2.7947999091805675,-0.17056807334401616,Au,-1.3660974217153812,2.366150142499888,-0.6124633356621005,Au,-2.3154837527589875,1.336845167959606,-0.831492626312589,Au,-2.5497854317608613,3.1225865675184907e-16,1.1569763402853481,Au,-2.4171525006659804,-1.39554364693188,-0.22323019068276426,Au,-1.3557652353696241,-2.348254270795764,-0.6982854045822532,Au,-5.034779654416852e-16,-2.740806387562663,-0.5726956834966584,Au,1.3614839750029772,-2.3581594183959913,-0.6522618670751593,Au,2.081248825434001,-1.2016095696149145,1.4368499465286726,Au,4.560340473987538,2.4913253554748036,0.1912922750125111,Au,0.851886787449606,4.869279189571021,1.6138181667645737,Au,-2.0458404161973522,2.3119927049977003,4.184402791736339,Au,-4.8745483790609905,-0.2498003187413159,1.7934263020683645,Au,-2.1787083114292733,-3.038947036963172,-3.6135897664568626,Au,1.3626122734262047,-4.818339659742964,1.4024588106808435,Au,4.738264766031893,-1.9899034765770207,0.7931778872910024,9
svr_linear,structure_194,2,-1557.1307306378876,1557.1307306378876,20,Au20,-1555.433278,-1.6974526378876362,Au,0.0,0.0,0.0,Au,2.330168355470393,0.0,-1.552519061127561,Au,2.33400620177092,1.3475391088826965,-0.7593111352578131,Au,1.3941676365445852,2.4147691807634413,-0.25531628394354966,Au,1.7113213815176479e-16,2.7947999091805675,-0.17056807334401616,Au,-1.3660974217153812,2.366150142499888,-0.6124633356621005,Au,-2.3154837527589875,1.336845167959606,-0.831492626312589,Au,-2.5497854317608613,3.1225865675184907e-16,1.1569763402853481,Au,-2.4171525006659804,-1.39554364693188,-0.22323019068276426,Au,-1.3557652353696241,-2.348254270795764,-0.6982854045822532,Au,-5.034779654416852e-16,-2.740806387562663,-0.5726956834966584,Au,1.3614839750029772,-2.3581594183959913,-0.6522618670751593,Au,2.081248825434001,-1.2016095696149145,1.4368499465286726,Au,4.560340473987538,2.4913253554748036,0.1912922750125111,Au,0.851886787449606,4.869279189571021,1.6138181667645737,Au,-2.0458404161973522,2.3119927049977003,4.184402791736339,Au,-4.8745483790609905,-0.2498003187413159,1.7934263020683645,Au,-2.1787083114292733,-3.038947036963172,-3.6135897664568626,Au,1.3626122734262047,-4.818339659742964,1.4024588106808435,Au,4.738264766031893,-1.9899034765770207,0.7931778872910024,10
