structure_id,n_atoms,strength,trials,reference_energy,base_prediction,mean_perturbed_energy,std_perturbed_energy,mean_energy_change,std_energy_change,mean_sensitivity,std_sensitivity,mae_from_reference,rmse_from_reference,avg_bond_length,min_bond_length
structure_637,1,2,15,-1555.5875476320423,-1553.5839,-1553.5457,0.061481643,0.03806966,0.06148164,0.3327475570583727,0.5306211615615333,2.0417318,2.0425956,2.6845868879676367,2.610777421742971
structure_637,1,5,15,-1555.5875476320423,-1553.5839,-1553.4862,0.07795901,0.0975179,0.077959,0.26259920487157856,0.19506659753910857,2.10118,2.1025295,2.6845868879676367,2.610777421742971
structure_637,1,9,15,-1555.5875476320423,-1553.5839,-1553.3041,0.104462765,0.27983397,0.10446275,0.3804279602030464,0.14201474627186944,2.2834961,2.285725,2.6845868879676367,2.610777421742971
structure_637,2,2,15,-1555.5875476320423,-1553.5839,-1553.512,0.0763988,0.071948245,0.07639878,0.6242541563033667,0.6608235499261376,2.0756104,2.0769222,2.6845868879676367,2.610777421742971
structure_637,2,5,15,-1555.5875476320423,-1553.5839,-1553.4344,0.09679761,0.14953613,0.09679761,0.40221377278151477,0.23665980090784589,2.1531982,2.155228,2.6845868879676367,2.610777421742971
structure_637,2,9,15,-1555.5875476320423,-1553.5839,-1552.9238,0.25246286,0.6598877,0.25246286,0.8971023675037639,0.3432175351488595,2.66355,2.6746933,2.6845868879676367,2.610777421742971
structure_637,3,2,15,-1555.5875476320423,-1553.5839,-1553.4929,0.07668117,0.09091797,0.07668116,0.7959152371163195,0.6535573306957666,2.0945802,2.0958896,2.6845868879676367,2.610777421742971
structure_637,3,5,15,-1555.5875476320423,-1553.5839,-1553.3612,0.11865021,0.22273763,0.118650205,0.5887294424801557,0.30214721568116626,2.2263997,2.2293487,2.6845868879676367,2.610777421742971
structure_637,3,9,15,-1555.5875476320423,-1553.5839,-1552.671,0.24897948,0.91287434,0.24897948,1.2410319899905926,0.3384819549740135,2.9165366,2.9264386,2.6845868879676367,2.610777421742971
structure_243,1,2,15,-1555.517765910345,-1553.1954,-1553.1652,0.056049008,0.030330403,0.056048978,0.2646230901708616,0.4879766118794592,2.352718,2.353341,2.669811472824366,2.605129466710772
structure_243,1,5,15,-1555.517765910345,-1553.1954,-1553.1703,0.1002959,0.025317382,0.10029589,0.14998250441253652,0.22508983766850615,2.3477051,2.3497038,2.669811472824366,2.605129466710772
