perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1553.3519,0.34973145,0.480254393226895
1,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1553.4552,0.24645996,0.33844105407507885
2,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1553.2716,0.4300537,0.5905536570116409
3,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1553.2725,0.42919922,0.5893802605883989
4,2,9,0.7282212307577377,False,-1555.4173309639336,-1553.7017,-1553.2257,0.47595215,0.6535818077457813
5,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1553.0802,0.62145996,0.8533944558178438
6,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1553.1804,0.52124023,0.7157718181776062
7,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1553.0072,0.694458,0.9536360359748013
8,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1553.2424,0.45922852,0.6306167634623312
9,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1552.9272,0.77441406,1.0634324155781576
10,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1553.4213,0.2803955,0.3850416548838317
11,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1552.8531,0.84851074,1.1651826482792835
12,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1553.2108,0.49084473,0.6740324311222844
13,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1553.1986,0.50305176,0.6907952371685984
14,2,9,0.7282212307577377,True,-1555.4173309639336,-1553.7017,-1553.4359,0.26574707,0.36492628762825496
