perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.238,0.08459473,0.11475267151318097
1,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.2239,0.09875488,0.1339609109006687
2,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.1844,0.1381836,0.18744592229858711
3,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.2345,0.088134766,0.1195547313600529
4,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.2482,0.07446289,0.10100884505489234
5,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.2594,0.06323242,0.0857747241613676
6,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.2386,0.083984375,0.11392473016027202
7,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.4116,-0.08898926,0.12071384925412544
8,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.2332,0.08947754,0.1213762023364526
9,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.2439,0.07873535,0.10680443452525502
10,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.2332,0.08947754,0.1213762023364526
11,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.1791,0.14355469,0.1947318062041859
12,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.0881,0.23449707,0.31809506778762
13,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.0834,0.23925781,0.3245530103403098
14,1,9,0.7371917833981154,True,-1555.4057911442187,-1553.3226,-1553.367,-0.044311523,0.06010854222119003
