perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.3363,-0.061767578,0.16151763754117696
1,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.339,-0.064453125,0.16854014352122812
2,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.2559,0.018676758,0.04883833704308315
3,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.3412,-0.06665039,0.17428583023217908
4,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.3346,-0.060058594,0.15704877009932622
5,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.2711,0.0034179688,0.008937734883701491
6,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.3363,-0.061767578,0.16151763754117696
7,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.2461,0.028442383,0.07437472242508741
8,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.2874,-0.012817383,0.03351650581388059
9,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.2183,0.056274414,0.14715342076379956
10,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.2793,-0.004760742,0.012448987873727077
11,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.3342,-0.059692383,0.15609115564750103
12,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.3264,-0.051879883,0.13566204734189763
13,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.2811,-0.006591797,0.017237060132852876
14,1,5,0.3824200196666021,True,-1556.299794,-1553.2745,-1553.3354,-0.060913086,0.15928320382025157
