perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.2366,0.29589844,0.7834644950433116
1,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.5594,-0.026977539,0.07142972500188609
2,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.4823,0.0501709,0.13283989581798725
3,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.4926,0.039916992,0.10569013608876357
4,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.2821,0.2503662,0.6629066333885446
5,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.4133,0.119140625,0.3154543511395512
6,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.359,0.17346191,0.45928343541936706
7,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.127,0.40551758,1.0737083550057265
8,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.5558,-0.02331543,0.06173338224144906
9,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.5282,0.004272461,0.01131239988717653
10,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.3671,0.16540527,0.4379514813464056
11,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.5627,-0.030273438,0.0801564334862794
12,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.2903,0.2421875,0.6412514678902352
13,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.3578,0.17468262,0.4625155496728461
14,3,5,0.37767944734195275,True,-1555.942374,-1553.5325,-1553.4984,0.034057617,0.09017598767206433
