structure_id,n_atoms,strength,trials,reference_energy,base_prediction,mean_perturbed_energy,std_perturbed_energy,mean_energy_change,std_energy_change,mean_sensitivity,std_sensitivity,mae_from_reference,rmse_from_reference,avg_bond_length,min_bond_length
350.xyz,1,2,15,-1557.20946,-1552.917,-1552.9263,0.011175793,-0.00921224,0.011175636,0.08221530359429018,0.0958351919088715,4.2832685,4.283282,2.6656690910750536,2.6047808374740704
350.xyz,1,5,15,-1557.20946,-1552.917,-1552.8479,0.09716764,0.068986006,0.09716764,0.19106423368864267,0.24973897276455304,4.3614664,4.3624763,2.6656690910750536,2.6047808374740704
350.xyz,1,9,15,-1557.20946,-1552.917,-1552.6234,0.19710068,0.29337564,0.19710067,0.4034507461751877,0.26699098322640097,4.585856,4.589808,2.6656690910750536,2.6047808374740704
350.xyz,2,2,15,-1557.20946,-1552.917,-1552.9204,0.016822435,-0.0034342448,0.016822428,0.10607052121750395,0.10220716599423758,4.2890463,4.2890773,2.6656690910750536,2.6047808374740704
350.xyz,2,5,15,-1557.20946,-1552.917,-1552.8441,0.12518984,0.07290039,0.12518984,0.26680624958659344,0.26991309747695647,4.365381,4.367056,2.6656690910750536,2.6047808374740704
350.xyz,2,9,15,-1557.20946,-1552.917,-1552.41,0.19412617,0.50694984,0.19412617,0.6940779006417329,0.26578306011977954,4.7994304,4.803093,2.6656690910750536,2.6047808374740704
350.xyz,3,2,15,-1557.20946,-1552.917,-1552.9227,0.015858741,-0.0057698567,0.015858706,0.10599952354600628,0.09908743709246023,4.2867107,4.286738,2.6656690910750536,2.6047808374740704
350.xyz,3,5,15,-1557.20946,-1552.917,-1552.8248,0.13585052,0.09213867,0.13585052,0.32025349668347264,0.2870541862925373,4.384619,4.386583,2.6656690910750536,2.6047808374740704
350.xyz,3,9,15,-1557.20946,-1552.917,-1552.2424,0.30456337,0.6745443,0.30456337,0.9235356379168452,0.416985402169335,4.967025,4.975732,2.6656690910750536,2.6047808374740704
351.xyz,1,2,15,-1557.196241,-1553.0493,-1553.0419,0.010859603,0.007316081,0.0108596,0.07420642557247399,0.0859935773501909,4.154289,4.154302,2.6702720545839913,2.6043862031318907
351.xyz,1,5,15,-1557.196241,-1553.0493,-1552.9929,0.102819346,0.056274414,0.102819346,0.1766556548027391,0.25237366153783514,4.203247,4.2044206,2.6702720545839913,2.6043862031318907
351.xyz,1,9,15,-1557.196241,-1553.0493,-1552.7793,0.1568905,0.26991373,0.1568905,0.36890871460821867,0.21443247642310817,4.4168863,4.4194865,2.6702720545839913,2.6043862031318907
351.xyz,2,2,15,-1557.196241,-1553.0493,-1553.0416,0.010373925,0.0077229817,0.01037387,0.08682222667266538,0.07023745036397323,4.1546955,4.154708,2.6702720545839913,2.6043862031318907
351.xyz,2,5,15,-1557.196241,-1553.0493,-1552.9647,0.12000188,0.08457031,0.120001875,0.25024965800023546,0.29386832013288267,4.231543,4.233131,2.6702720545839913,2.6043862031318907
351.xyz,2,9,15,-1557.196241,-1553.0493,-1552.5717,0.26219162,0.4778076,0.26219162,0.653050844538015,0.3583544081976679,4.62478,4.631712,2.6702720545839913,2.6043862031318907
351.xyz,3,2,15,-1557.196241,-1553.0493,-1553.0447,0.019394396,0.0045817057,0.019394306,0.13189890925537165,0.10768423095285821,4.1515546,4.1515965,2.6702720545839913,2.6043862031318907
351.xyz,3,5,15,-1557.196241,-1553.0493,-1552.9216,0.14429897,0.12778321,0.14429897,0.3869640938031086,0.32568002321344824,4.274756,4.2770286,2.6702720545839913,2.6043862031318907
351.xyz,3,9,15,-1557.196241,-1553.0493,-1552.4095,0.32724997,0.63975424,0.32724997,0.87439384875014,0.4472738878175891,4.786727,4.7971563,2.6702720545839913,2.6043862031318907
804.xyz,1,2,15,-1556.299794,-1553.2745,-1553.2775,0.017119525,-0.0029134115,0.017119518,0.06493368320158945,0.13422045941642818,3.022355,3.0224006,2.6930987300464935,2.5714830761826772
804.xyz,1,5,15,-1556.299794,-1553.2745,-1553.3015,0.0409316,-0.026969401,0.0409316,0.10776354631205799,0.06589647513121087,2.9982991,2.99856,2.6930987300464935,2.5714830761826772
804.xyz,1,9,15,-1556.299794,-1553.2745,-1553.0542,0.17534564,0.22032064,0.17534564,0.31778587031358974,0.20923325831050654,3.2455893,3.250007,2.6930987300464935,2.5714830761826772
804.xyz,2,2,15,-1556.299794,-1553.2745,-1553.2766,0.017574916,-0.001936849,0.017574908,0.07926969118116114,0.1288405532717266,3.0233316,3.0233796,2.6930987300464935,2.5714830761826772
804.xyz,2,5,15,-1556.299794,-1553.2745,-1553.3042,0.056653477,-0.029573567,0.056653466,0.14551483603512097,0.07528148911870604,2.9956949,2.996195,2.6930987300464935,2.5714830761826772
804.xyz,2,9,15,-1556.299794,-1553.2745,-1552.8605,0.13228425,0.4139811,0.13228424,0.5610191644231237,0.1792690316073595,3.4392498,3.4416232,2.6930987300464935,2.5714830761826772
804.xyz,3,2,15,-1556.299794,-1553.2745,-1553.2837,0.03090148,-0.00913086,0.030901471,0.14898204370927448,0.23256412966873694,3.0161376,3.0162854,2.6930987300464935,2.5714830761826772
804.xyz,3,5,15,-1556.299794,-1553.2745,-1553.2717,0.14956085,0.002734375,0.14956085,0.28204937654423706,0.2603314357401061,3.028003,3.0314486,2.6930987300464935,2.5714830761826772
804.xyz,3,9,15,-1556.299794,-1553.2745,-1552.6453,0.25901404,0.62905276,0.25901404,0.8524800348256069,0.3510107782357296,3.6543212,3.6628788,2.6930987300464935,2.5714830761826772
316.xyz,1,2,15,-1555.942377,-1553.5352,-1553.5101,0.024537738,0.025195312,0.024537686,0.221583571667413,0.21313470780672525,2.432422,2.4325373,2.6596922729301973,2.6181852986013845
316.xyz,1,5,15,-1555.942377,-1553.5352,-1553.3951,0.079489924,0.13992514,0.07948992,0.3704895678845389,0.21047101931643208,2.5471518,2.548309,2.6596922729301973,2.6181852986013845
316.xyz,1,9,15,-1555.942377,-1553.5352,-1553.2587,0.09331788,0.27646485,0.09331788,0.3793656094649901,0.12805097740162125,2.6836915,2.6852052,2.6596922729301973,2.6181852986013845
316.xyz,2,2,15,-1555.942377,-1553.5352,-1553.4955,0.020685606,0.039835613,0.020685563,0.3483145739601755,0.18087040054218434,2.4470623,2.4471438,2.6596922729301973,2.6181852986013845
316.xyz,2,5,15,-1555.942377,-1553.5352,-1553.3763,0.09413913,0.15898438,0.09413912,0.42095406526650875,0.24925873669170562,2.566211,2.5678222,2.6596922729301973,2.6181852986013845
316.xyz,2,9,15,-1555.942377,-1553.5352,-1553.0089,0.2316786,0.5263021,0.2316786,0.7221927674355303,0.3179098384180225,2.9335287,2.942055,2.6596922729301973,2.6181852986013845
316.xyz,3,2,15,-1555.942377,-1553.5352,-1553.4857,0.02080387,0.049519856,0.020803828,0.43299166139891077,0.1819044851985967,2.4567463,2.4568286,2.6596922729301973,2.6181852986013845
316.xyz,3,5,15,-1555.942377,-1553.5352,-1553.351,0.09540761,0.18417154,0.095407605,0.48764391129434687,0.2526174053259349,2.591398,2.593037,2.6596922729301973,2.6181852986013845
316.xyz,3,9,15,-1555.942377,-1553.5352,-1552.8118,0.28608218,0.7234375,0.28608218,0.9927023789885717,0.392562532648854,3.130664,3.1428401,2.6596922729301973,2.6181852986013845
952.xyz,1,2,15,-1555.942376,-1553.5314,-1553.5073,0.025712375,0.023958333,0.025712352,0.2158879444513584,0.2182327966226054,2.4349692,2.4350958,2.659729847145297,2.6181103049886256
952.xyz,1,5,15,-1555.942376,-1553.5314,-1553.4026,0.08111801,0.12880045,0.08111801,0.34102917025764573,0.2147787953919949,2.5398111,2.54102,2.659729847145297,2.6181103049886256
952.xyz,1,9,15,-1555.942376,-1553.5314,-1553.2458,0.14009269,0.28541666,0.14009269,0.39164378584715787,0.1922327407658919,2.6964273,2.699822,2.659729847145297,2.6181103049886256
952.xyz,2,2,15,-1555.942376,-1553.5314,-1553.4948,0.02246025,0.036629234,0.02246025,0.3246857912101347,0.18846356596817476,2.44764,2.447736,2.659729847145297,2.6181103049886256
952.xyz,2,5,15,-1555.942376,-1553.5314,-1553.3751,0.09815474,0.15630697,0.09815472,0.413859055609945,0.2598874648337414,2.5673177,2.5690684,2.659729847145297,2.6181103049886256
