perturbation_id,n_atoms_perturbed,perturbation_strength,magnitude_angstrom,is_valid,reference_energy,xgboost_base_energy,xgboost_perturbed_energy,xgboost_delta_energy,xgboost_sensitivity
0,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.3124,0.19311523,0.5112971572567041
1,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.2318,0.27368164,0.7246069700186667
2,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.4838,0.021728516,0.05752901010852929
3,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.4938,0.01171875,0.03102688185628546
4,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.2708,0.23474121,0.6215072271837181
5,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.2664,0.23913574,0.6331423078798252
6,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.4536,0.051879883,0.13735859155126376
7,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.4812,0.024291992,0.06431614051459174
8,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.4485,0.057006836,0.15093285236338863
9,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.2513,0.2541504,0.6728955002581909
10,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.4633,0.042236328,0.11182605335702885
11,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.2878,0.21765137,0.5762596911433018
12,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.4071,0.09838867,0.26049652891839664
13,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.3876,0.11791992,0.31220799867887244
14,3,5,0.3776966713664784,True,-1555.942366,-1553.5055,-1553.441,0.064453125,0.17064785020957002
