structure_id,energy,n_atoms,cluster_type,neatness_score,compactness,symmetry_score,robustness_score,n_bonds,avg_coordination,max_coordination,min_coordination,atom_1_element,atom_1_x,atom_1_y,atom_1_z,atom_2_element,atom_2_x,atom_2_y,atom_2_z,atom_3_element,atom_3_x,atom_3_y,atom_3_z,atom_4_element,atom_4_x,atom_4_y,atom_4_z,atom_5_element,atom_5_x,atom_5_y,atom_5_z,atom_6_element,atom_6_x,atom_6_y,atom_6_z,atom_7_element,atom_7_x,atom_7_y,atom_7_z,atom_8_element,atom_8_x,atom_8_y,atom_8_z,atom_9_element,atom_9_x,atom_9_y,atom_9_z,atom_10_element,atom_10_x,atom_10_y,atom_10_z,atom_11_element,atom_11_x,atom_11_y,atom_11_z,atom_12_element,atom_12_x,atom_12_y,atom_12_z,atom_13_element,atom_13_x,atom_13_y,atom_13_z,atom_14_element,atom_14_x,atom_14_y,atom_14_z,atom_15_element,atom_15_x,atom_15_y,atom_15_z,atom_16_element,atom_16_x,atom_16_y,atom_16_z,atom_17_element,atom_17_x,atom_17_y,atom_17_z,atom_18_element,atom_18_x,atom_18_y,atom_18_z,atom_19_element,atom_19_x,atom_19_y,atom_19_z,atom_20_element,atom_20_x,atom_20_y,atom_20_z
277.xyz,-1554.470402,20,Au20,0.328645588384356,0.18362405106283175,0.5,0.5396124051062832,50,5.0,6,4,Au,-0.0,3.96095877,0.31133502,Au,0.0,-3.96095877,0.31133502,Au,-0.0,1.31552664,-3.09417952,Au,-0.0,-1.31552664,-3.09417952,Au,0.0,3.852396,-2.38069854,Au,0.0,-3.852396,-2.38069854,Au,0.0,1.3155739,3.71670727,Au,0.0,-1.3155739,3.71670727,Au,-0.0,-3.85326938,3.00414677,Au,-0.0,3.85326938,3.00414677,Au,-2.15665257,0.0,0.31260622,Au,2.15665257,0.0,0.31260622,Au,1.38036688,2.12104993,-1.00035668,Au,-1.38036688,-2.12104993,-1.00035668,Au,1.38036688,-2.12104993,-1.00035668,Au,-1.38036688,2.12104993,-1.00035668,Au,-1.38066185,2.12232805,1.62401875,Au,1.38066185,-2.12232805,1.62401875,Au,-1.38066185,-2.12232805,1.62401875,Au,1.38066185,2.12232805,1.62401875
721.xyz,-1554.468774,20,Au20,0.16681058836394988,0.22843017907799848,0.025,0.7002026597722066,59,5.9,10,1,Au,3.20308391,-1.30280339,-0.13354286,Au,-4.28058025,0.5195798,4.28317812,Au,2.32799459,0.77084385,-1.68567229,Au,-1.92410065,0.11251949,3.31771128,Au,0.67594615,-0.12780157,3.17664659,Au,0.35436393,-0.13647605,-3.22901852,Au,-0.95261712,-0.67324229,0.93864357,Au,-0.32087031,1.24925285,-0.86823065,Au,0.7290592,-1.37670862,-0.96760012,Au,-0.84881255,-2.27062207,3.01159423,Au,-0.58814846,1.78329566,1.79081611,Au,0.70344214,2.44785479,-2.94961094,Au,-1.92787183,-0.91820455,-4.21758047,Au,3.32738624,-0.45566545,2.40423551,Au,4.07247139,1.09991718,0.3360478,Au,-3.92319715,0.1093322,-2.88543991,Au,1.33885215,-2.07220666,1.54709547,Au,-1.78556181,-0.82422706,-1.60253657,Au,-1.72874414,1.47621289,-3.08988498,Au,1.54790456,0.58914903,0.82314863
293.xyz,-1554.442154,20,Au20,0.3245094492267363,0.5479426007499976,0.1,0.6943311062416664,60,6.0,12,4,Au,0.0,1.31094269,0.16586795,Au,0.0,-1.3109425,0.16586778,Au,-0.0,3.41882816,-1.42262719,Au,-0.0,-3.41882816,-1.4226272,Au,1.31510901,0.0,2.13046873,Au,-1.31510901,0.0,2.13046873,Au,2.43095307,0.0,-0.25217077,Au,-2.43095307,0.0,-0.25217077,Au,1.30510875,-2.68067315,2.20760047,Au,-1.30510875,2.68067314,2.20760046,Au,1.30510875,2.68067314,2.20760046,Au,-1.30510875,-2.68067315,2.20760047,Au,1.31335873,-1.29935134,-2.28168984,Au,-1.31335868,1.29935125,-2.28168975,Au,1.31335868,1.29935125,-2.28168975,Au,-1.31335873,-1.29935134,-2.28168984,Au,2.25939228,2.63927902,-0.23667998,Au,-2.25939228,-2.63927902,-0.23667998,Au,2.25939228,-2.63927902,-0.23667998,Au,-2.25939228,2.63927902,-0.23667998
273.xyz,-1554.417046,20,Au20,0.3360267530774119,0.5792839542484328,0.1,0.6767156316748433,56,5.6,13,3,Au,-4.5e-05,-0.0,0.17090227,Au,-1.673e-05,0.0,-2.63087543,Au,1.98e-06,-1.35654471,2.55892523,Au,1.98e-06,1.35654471,2.55892523,Au,-2.20574794,-0.0,2.35881245,Au,2.20575987,0.0,2.35879872,Au,3.44912721,0.0,0.09822319,Au,-3.44912371,-0.0,0.09821116,Au,1.84180679,-2.12217259,0.85353623,Au,-1.84180528,2.12218081,0.8535368,Au,1.84180679,2.12217259,0.85353623,Au,-1.84180528,-2.12218081,0.8535368,Au,-2.00741345,1.3152563,-1.63848096,Au,2.00743392,-1.31527291,-1.63847982,Au,-2.00741345,-1.3152563,-1.63848096,Au,2.00743392,1.31527291,-1.63847982,Au,1.32167705,-3.78419187,-1.10803843,Au,-1.32167786,3.78419668,-1.10803523,Au,1.32167705,3.78419187,-1.10803843,Au,-1.32167786,-3.78419668,-1.10803523
118.xyz,-1554.413958,20,Au20,0.36987972848429396,0.3327413955177094,0.5,0.598525342827633,58,5.8,8,4,Au,2.53429456,-0.56107541,0.0,Au,-2.53429456,0.56107541,0.0,Au,-0.56056393,2.53406081,0.0,Au,0.56056393,-2.53406081,0.0,Au,1.45063921,1.45035424,-1.36518947,Au,-1.45063921,-1.45035424,-1.36518947,Au,-2.82170252,2.82246909,-1.3209464,Au,2.82170252,-2.82246909,-1.3209464,Au,-2.82170252,2.82246909,1.3209464,Au,2.82170252,-2.82246909,1.3209464,Au,1.45063921,1.45035424,1.36518947,Au,-1.45063921,-1.45035424,1.36518947,Au,0.93161737,0.93160741,-3.89984613,Au,-0.93161737,-0.93160741,-3.89984613,Au,-1.07764414,1.07771481,-2.21290269,Au,1.07764414,-1.07771481,-2.21290269,Au,-1.07764414,1.07771481,2.21290269,Au,1.07764414,-1.07771481,2.21290269,Au,0.93161737,0.93160741,3.89984613,Au,-0.93161737,-0.93160741,3.89984613
890.xyz,-1554.389354,20,Au20,0.23977445458767183,0.4157011181676553,0.0,0.6903548755667654,56,5.6,10,3,Au,-2.39843029,5e-07,-2.74771069,Au,-1.92949482,-5e-07,-0.11065874,Au,-4.40101412,-8e-08,-1.07887877,Au,-1.64549634,1.6e-07,2.49287995,Au,-4.07108655,-1.6e-07,1.50857541,Au,1.66836178,1e-07,-0.70061262,Au,-2.88566426,-2.18532782,-1.37777516,Au,-2.88566459,2.18532748,-1.37777429,Au,3.4552281,1.30966484,-2.12127691,Au,3.45522829,-1.30966497,-2.12127677,Au,0.07235655,-1.36152239,1.01898329,Au,0.0723565,1.36152219,1.01898323,Au,0.93726677,3.76927356,1.54136607,Au,0.93726672,-3.76927309,1.54136609,Au,-0.34243205,1.35233078,-1.80946011,Au,-0.34243204,-1.35233077,-1.80945982,Au,1.68116589,-2.65145423,-0.69855705,Au,1.68116596,2.65145407,-0.69855746,Au,-0.86850371,3.47103619,-0.32059576,Au,-0.86850405,-3.47103585,-0.32059583
348.xyz,-1554.381549,20,Au20,0.3866429758356707,0.4734516778273429,0.4,0.6234474176979885,59,5.9,12,5,Au,-0.0,-0.0,-1.37092062,Au,0.0,0.0,1.37092062,Au,-0.0,-0.0,-4.01538857,Au,-0.0,-0.0,4.01538857,Au,0.0409862,-2.33780062,-0.00110679,Au,-0.0409862,2.33780062,-0.00110679,Au,-2.33780062,-0.0409862,0.00110679,Au,2.33780062,0.0409862,0.00110679,Au,-2.31904708,0.43220999,-2.61212449,Au,2.31904708,-0.43220999,-2.61212449,Au,0.43220999,2.31904708,2.61212449,Au,-0.43220999,-2.31904708,2.61212449,Au,-2.30200157,-0.51058623,2.61470502,Au,2.30200157,0.51058623,2.61470502,Au,-0.51058623,2.30200157,-2.61470502,Au,0.51058623,-2.30200157,-2.61470502,Au,-1.91984485,-1.98675647,-1.70932858,Au,1.91984485,1.98675647,-1.70932858,Au,-1.98675647,1.91984485,1.70932858,Au,1.98675647,-1.91984485,1.70932858
971.xyz,-1554.378931,20,Au20,0.383303537947009,0.5205789320148065,0.35,0.6722963004237028,63,6.3,12,3,Au,2.7e-07,-8e-08,-3.91439459,Au,8e-08,7e-08,3.73462357,Au,1.33e-06,-1.15e-06,-1.34858629,Au,-1.14e-06,2e-07,1.17263972,Au,-2.69661646,0.46812596,-0.08734449,Au,2.69661663,-0.46812604,-0.08734549,Au,0.96541988,-2.4452134,-0.00993951,Au,-0.96542006,2.44521358,-0.00993906,Au,-1.56495731,-1.8772283,-0.17151913,Au,1.56495708,1.87722797,-0.17151889,Au,3.44282742,-2.83695989,0.75126302,Au,-3.44282774,2.83696,0.75126298,Au,-0.19451397,-2.34994916,-2.46517288,Au,0.19451312,2.34994805,-2.46517231,Au,2.24846382,0.69627621,-2.47813006,Au,-2.24846265,-0.69627497,-2.47812942,Au,-0.56386882,-2.28740777,2.26744631,Au,0.56386889,2.28740769,2.26744643,Au,-1.91614092,1.42422715,2.37125547,Au,1.91614057,-1.42422611,2.37125464
968.xyz,-1554.378923,20,Au20,0.38338910073599025,0.5207841704374866,0.35,0.6723168236310502,63,6.3,12,3,Au,8e-08,2.7e-07,-1.34860601,Au,-6e-08,-1.8e-07,1.17279192,Au,1e-08,4e-08,-3.91451146,Au,-1e-08,1e-08,3.73500588,Au,2.44833105,0.96070991,-0.00965875,Au,-2.44833109,-0.96071004,-0.00965865,Au,0.47278454,2.69352142,-0.08666422,Au,-0.47278458,-2.69352137,-0.08666406,Au,2.84245476,3.43766915,0.75194187,Au,-2.84245475,-3.43766916,0.75194184,Au,-1.87510414,1.56830118,-0.17290602,Au,1.87510426,-1.56830115,-0.17290604,Au,2.28625069,-0.57001976,2.26702296,Au,-2.28625065,0.57001977,2.26702298,Au,1.42934517,1.91198835,2.37226497,Au,-1.42934534,-1.91198839,2.3722651,Au,-2.34954139,0.19909905,-2.46543453,Au,2.34954164,-0.19909917,-2.46543466,Au,-0.69130998,2.24948728,-2.47890658,Au,0.69130981,-2.24948719,-2.47890653
196.xyz,-1554.364084,20,Au20,0.23410585237556464,0.3719913094939625,0.05,0.6709816384493961,56,5.6,10,3,Au,0.0,0.0,-2.46873937,Au,0.0,0.0,4.00049409,Au,0.0,-2.15988223,2.53308625,Au,0.0,2.15988223,2.53308625,Au,-0.0,-4.16472615,-1.95354921,Au,-0.0,4.16472615,-1.95354921,Au,-0.0,-3.93120746,0.63985,Au,-0.0,3.93120746,0.63985,Au,0.0,1.40360952,-0.1249051,Au,0.0,-1.40360952,-0.1249051,Au,-2.17655835,-0.0,-0.75250564,Au,2.17655835,0.0,-0.75250564,Au,-2.48845976,0.0,-3.36322944,Au,2.48845976,-0.0,-3.36322944,Au,-1.35841259,0.0,1.74977932,Au,1.35841259,0.0,1.74977932,Au,1.64011405,2.16454938,-2.17686166,Au,-1.64011405,-2.16454938,-2.17686166,Au,1.64011405,-2.16454938,-2.17686166,Au,-1.64011405,2.16454938,-2.17686166
