structure_id,energy,n_atoms,cluster_type,neatness_score,compactness,symmetry_score,robustness_score,n_bonds,avg_coordination,max_coordination,min_coordination,atom_1_element,atom_1_x,atom_1_y,atom_1_z,atom_2_element,atom_2_x,atom_2_y,atom_2_z,atom_3_element,atom_3_x,atom_3_y,atom_3_z,atom_4_element,atom_4_x,atom_4_y,atom_4_z,atom_5_element,atom_5_x,atom_5_y,atom_5_z,atom_6_element,atom_6_x,atom_6_y,atom_6_z,atom_7_element,atom_7_x,atom_7_y,atom_7_z,atom_8_element,atom_8_x,atom_8_y,atom_8_z,atom_9_element,atom_9_x,atom_9_y,atom_9_z,atom_10_element,atom_10_x,atom_10_y,atom_10_z,atom_11_element,atom_11_x,atom_11_y,atom_11_z,atom_12_element,atom_12_x,atom_12_y,atom_12_z,atom_13_element,atom_13_x,atom_13_y,atom_13_z,atom_14_element,atom_14_x,atom_14_y,atom_14_z,atom_15_element,atom_15_x,atom_15_y,atom_15_z,atom_16_element,atom_16_x,atom_16_y,atom_16_z,atom_17_element,atom_17_x,atom_17_y,atom_17_z,atom_18_element,atom_18_x,atom_18_y,atom_18_z,atom_19_element,atom_19_x,atom_19_y,atom_19_z,atom_20_element,atom_20_x,atom_20_y,atom_20_z
350.xyz,-1557.20946,20,Au20,0.47635760290392,0.9999208760150684,0.0,0.7397595426015069,60,6.0,9,3,Au,0.95069415,-0.995015,0.97293995,Au,-0.95069414,0.995015,0.97293995,Au,-0.99501488,-0.95069403,-0.97294011,Au,0.99501488,0.95069403,-0.97294011,Au,-0.9549562,-0.91280836,2.83755584,Au,0.9549562,0.91280836,2.83755584,Au,-0.91280835,0.9549562,-2.83755569,Au,0.91280835,-0.9549562,-2.83755569,Au,0.99826484,2.81536038,0.93395014,Au,-0.99826484,-2.81536039,0.93395014,Au,2.81536027,-0.99826484,-0.93395014,Au,-2.81536027,0.99826484,-0.93395014,Au,-0.86915009,2.85788332,-0.93460113,Au,0.86915009,-2.85788332,-0.93460113,Au,2.85788344,0.86915008,0.93460114,Au,-2.85788344,-0.86915008,0.93460114,Au,2.71205222,-2.83756085,-2.77547148,Au,-2.71205222,2.83756085,-2.77547148,Au,-2.83756085,-2.71205222,2.77547148,Au,2.83756085,2.71205222,2.77547148
351.xyz,-1557.196241,20,Au20,0.47430001615592193,0.9948561036780962,0.0,0.7392519637844763,60,6.0,9,3,Au,2.14765894,-3.2853813,-2.77408248,Au,-2.14765895,3.2853813,-2.77408247,Au,-3.28538124,-2.14765325,2.77408354,Au,3.28538124,2.14765325,2.77408353,Au,1.50708633,2.60287343,0.92657803,Au,-1.50708633,-2.60287343,0.92657804,Au,2.60288245,-1.50708853,-0.92657771,Au,-2.60288245,1.50708851,-0.92657771,Au,-1.16752519,-0.7481468,-0.97423686,Au,1.1675252,0.74814678,-0.97423681,Au,-0.74815099,1.16751457,0.97428242,Au,0.74815098,-1.16751457,0.97428243,Au,0.72319682,-1.10558306,-2.83457542,Au,-0.7231968,1.10558307,-2.83457542,Au,-1.10558174,-0.72319304,2.83452204,Au,1.10558173,0.72319305,2.83452199,Au,2.96751035,0.32600872,0.93987126,Au,-2.96751035,-0.32600874,0.93987125,Au,0.32601159,-2.96750473,-0.93986483,Au,-0.3260116,2.96750476,-0.93986482
804.xyz,-1556.299794,20,Au20,0.36578539071227645,0.6821836793082469,0.05,0.7189089248160706,61,6.1,11,3,Au,-0.09236237,-0.10478363,0.01134149,Au,-0.26752176,-0.17680927,-2.59747255,Au,0.55531607,2.14497766,-1.44761385,Au,-2.49983295,-1.05068287,-1.26234172,Au,1.92148761,-1.33568072,-1.38968056,Au,2.71133311,3.61817579,-1.3493492,Au,-4.43478261,0.70041653,-1.33544966,Au,1.78047488,-3.95315584,-1.4759482,Au,1.82427892,2.4510709,0.83699281,Au,-2.9712025,0.43343532,0.83285731,Au,1.11263385,-2.68885452,0.73250597,Au,-0.42109924,-2.56086511,-1.3659804,Au,2.9317847,1.03845824,-1.08538804,Au,-1.95244174,1.52020703,-1.33022776,Au,0.52419091,-1.38707208,2.88804037,Au,0.88506123,1.19571894,2.90591571,Au,-1.52185384,0.20776187,2.95579571,Au,-0.85743369,2.16780025,1.06658244,Au,-1.52756164,-1.93673387,1.15915008,Au,2.29953106,-0.28338463,1.14051007
316.xyz,-1555.942377,20,Au20,0.5523760247024021,0.3425645770209689,1.0,0.49707519631320807,54,5.4,6,4,Au,0.0,-0.0,2.03929656,Au,-0.0,-0.0,-2.03929656,Au,-0.0,4.08768385,0.0,Au,-3.54003806,-2.04384193,-0.0,Au,3.54003806,-2.04384193,0.0,Au,-0.0,-4.08768385,0.0,Au,3.54003806,2.04384193,-0.0,Au,-3.54003806,2.04384193,0.0,Au,-2.6181853,-0.0,1.3827479,Au,1.30909265,-2.26741498,1.3827479,Au,1.30909265,2.26741498,1.3827479,Au,2.6181853,-0.0,1.3827479,Au,-1.30909265,2.26741498,1.3827479,Au,-1.30909265,-2.26741498,1.3827479,Au,1.30909265,-2.26741498,-1.3827479,Au,-2.6181853,-0.0,-1.3827479,Au,1.30909265,2.26741498,-1.3827479,Au,-1.30909265,2.26741498,-1.3827479,Au,2.6181853,-0.0,-1.3827479,Au,-1.30909265,-2.26741498,-1.3827479
952.xyz,-1555.942376,20,Au20,0.5523765047426662,0.34256273278065186,1.0,0.49707501179658375,54,5.4,6,4,Au,-0.0,-2e-08,2.03951376,Au,0.0,7e-08,-2.03957442,Au,-3.54018705,2.04392792,-8.887e-05,Au,-0.0,-4.08785589,-8.888e-05,Au,3.54018705,2.04392792,-8.887e-05,Au,3.54002491,-2.04383434,0.00011354,Au,-0.0,4.08766864,0.00011351,Au,-3.54002491,-2.04383434,0.00011354,Au,2.61831341,5.507e-05,1.38271532,Au,-1.30920456,2.26749837,1.38271528,Au,-1.30910897,-2.26755357,1.38271545,Au,1.30910897,-2.26755357,1.38271545,Au,-2.61831341,5.507e-05,1.38271532,Au,1.30920456,2.26749837,1.38271528,Au,-2.61814738,2.151e-05,-1.38271763,Au,1.3090552,-2.2673928,-1.38271753,Au,1.30909203,2.26737143,-1.38271755,Au,-1.30909203,2.26737143,-1.38271755,Au,2.61814738,2.151e-05,-1.38271762,Au,-1.3090552,-2.2673928,-1.38271753
918.xyz,-1555.942374,20,Au20,0.5523605455423615,0.3425313075313351,1.0,0.4970718690864669,54,5.4,6,4,Au,0.0,0.0,2.03899709,Au,0.0,0.0,-2.03899709,Au,3.54004624,-2.04384665,-0.0,Au,-0.0,4.08769331,-0.0,Au,-3.54004624,-2.04384665,-0.0,Au,-3.54007822,2.04386512,-0.0,Au,0.0,-4.08773023,0.0,Au,3.54007822,2.04386512,-0.0,Au,-1.30910644,2.2673579,-1.38272329,Au,-1.30903632,-2.26739838,-1.38272329,Au,2.61814276,4.048e-05,-1.38272329,Au,-1.30910644,2.2673579,1.38272329,Au,-1.30903632,-2.26739838,1.38272329,Au,2.61814276,4.048e-05,1.38272329,Au,-2.61814276,4.048e-05,-1.38272329,Au,1.30910644,2.2673579,-1.38272329,Au,1.30903632,-2.26739838,-1.38272329,Au,-2.61814276,4.048e-05,1.38272329,Au,1.30910644,2.2673579,1.38272329,Au,1.30903632,-2.26739838,1.38272329
934.xyz,-1555.942374,20,Au20,0.5523428721481463,0.34249348506871435,1.0,0.4970680868402048,54,5.4,6,4,Au,8e-08,-0.0,-2.03870695,Au,-8e-08,0.0,2.03870695,Au,2.6180096,-0.0,-1.38284667,Au,-1.3090126,2.26726809,-1.3828569,Au,-1.3090126,-2.26726809,-1.3828569,Au,1.3090126,-2.26726809,1.3828569,Au,-2.6180096,-0.0,1.38284667,Au,1.3090126,2.26726809,1.3828569,Au,2.61846375,-0.0,1.38263705,Au,-1.30923903,2.26765012,1.38264344,Au,-1.30923904,-2.26765012,1.38264344,Au,1.30923904,-2.26765012,-1.38264344,Au,-2.61846375,-1e-08,-1.38263705,Au,1.30923903,2.26765012,-1.38264344,Au,-3.5401469,2.04390762,1.36e-06,Au,0.0,-4.08781101,-0.0,Au,3.5401469,2.04390762,-1.36e-06,Au,3.5401469,-2.04390762,-1.36e-06,Au,-0.0,4.08781101,0.0,Au,-3.5401469,-2.04390762,1.36e-06
315.xyz,-1555.942373,20,Au20,0.5523247326206682,0.3424508483328882,1.0,0.49706382307402963,54,5.4,6,4,Au,0.0,0.0,2.03818676,Au,-0.0,-0.0,-2.03818676,Au,-0.0,-4.08766333,-0.0,Au,3.54002023,2.04383172,-0.0,Au,-3.54002023,2.04383172,0.0,Au,0.0,4.08766333,-0.0,Au,-3.54002023,-2.04383172,0.0,Au,3.54002023,-2.04383172,0.0,Au,-2.618308,-0.0,-1.38274274,Au,1.30915357,-2.26752122,-1.38274233,Au,1.30915357,2.26752122,-1.38274233,Au,2.618308,-0.0,-1.38274274,Au,-1.30915357,2.26752122,-1.38274233,Au,-1.30915357,-2.26752122,-1.38274233,Au,1.30915357,-2.26752122,1.38274233,Au,-2.618308,-0.0,1.38274274,Au,1.30915357,2.26752122,1.38274233,Au,-1.30915357,2.26752122,1.38274233,Au,2.618308,-0.0,1.38274274,Au,-1.30915357,-2.26752122,1.38274233
958.xyz,-1555.942367,20,Au20,0.477410680789996,0.3426394119114818,0.75,0.5345826788763334,54,5.4,6,4,Au,0.0,-0.0,-4.08774808,Au,0.0,-0.0,4.08768759,Au,-2.04000272,-4.365e-05,5.829e-05,Au,1.38279755,-2.61808082,0.00034638,Au,1.38283386,2.61814011,-0.00027891,Au,2.04000272,4.365e-05,5.829e-05,Au,-1.38279754,2.61808082,0.00034639,Au,-1.38283386,-2.61814011,-0.00027892,Au,1.38320276,1.30876067,2.26714401,Au,-1.38238771,1.30946964,2.26781723,Au,-0.00092583,-3.53983413,2.04382944,Au,-1.38320276,-1.30876066,2.26714402,Au,1.38238771,-1.30946964,2.26781724,Au,0.00092583,3.53983412,2.04382943,Au,-0.00093405,3.53994656,-2.04382461,Au,1.38317624,-1.30873206,-2.26721359,Au,-1.38250484,-1.30949656,-2.267848,Au,0.00093405,-3.53994656,-2.04382461,Au,-1.38317624,1.30873207,-2.26721359,Au,1.38250484,1.30949655,-2.267848
959.xyz,-1555.942366,20,Au20,0.5523301708983148,0.3424458864752788,1.0,0.4970633262401205,54,5.4,6,4,Au,-0.0,-0.0,-2.0396393,Au,0.0,0.0,2.0396393,Au,-4.08807799,-0.0,0.0,Au,2.04403786,-3.54037632,-2e-07,Au,2.04403786,3.54037632,2e-07,Au,4.088078,0.0,-0.0,Au,-2.04403786,3.54037632,-2e-07,Au,-2.04403786,-3.54037632,2e-07,Au,-2.26776005,-1.30912459,-1.38253953,Au,2.26761009,-1.30938306,-1.38253868,Au,0.00014888,2.61849784,-1.38253729,Au,2.26776005,1.3091246,-1.38253953,Au,-2.26761009,1.30938306,-1.38253868,Au,-0.00014888,-2.61849784,-1.38253729,Au,0.00014888,-2.61849784,1.38253729,Au,-2.26776005,1.30912459,1.38253953,Au,2.26761009,1.30938306,1.38253868,Au,-0.00014888,2.61849784,1.38253729,Au,2.26776005,-1.3091246,1.38253953,Au,-2.26761009,-1.30938306,1.38253868
