feature,importance
mean_coordination,32.8682230845811
soap_pc_2,14.350337855266119
soap_pc_8,6.888088857809155
std_coordination,6.350274840854594
soap_pc_14,5.496772533983916
n_bonds,3.8517038439174467
compactness,3.425593003426519
soap_pc_7,3.3138609022335506
soap_pc_10,3.272334909448894
radius_of_gyration,2.394911770536725
soap_pc_1,2.1729301620824835
soap_pc_6,2.108978622112105
mean_bond_length,2.073649380310661
x_range,1.6197673160124924
bond_variance,1.344225137399675
y_range,1.2087307037304047
soap_pc_5,1.1147021268014954
soap_pc_12,0.9195135377145432
soap_pc_13,0.7018322090057153
soap_pc_3,0.6321881740324565
soap_pc_9,0.604474118860149
soap_pc_11,0.5152239345098109
soap_pc_4,0.48912603280260875
asphericity,0.45782470687442745
std_bond_length,0.37876654175589103
surface_fraction,0.35786588454981516
z_range,0.3520815176510265
max_coordination,0.2724104295509592
anisotropy,0.26276357872008715
soap_pc_15,0.2008442834651725
