feature,importance
mean_coordination,0.15803084221817432
n_bonds,0.07823946946990123
radius_of_gyration,0.0667050226393663
soap_pc_2,0.06441519662140613
mean_bond_length,0.05354054762121315
soap_pc_1,0.04650746798866196
max_coordination,0.043061142222076125
soap_pc_8,0.03734613093925
bond_variance,0.03564542693324545
std_coordination,0.032409236336422335
soap_pc_12,0.027892342079025134
y_range,0.027643378580960304
soap_pc_10,0.026423902622781777
soap_pc_14,0.026416352975491674
std_bond_length,0.026401552720587997
compactness,0.024389687096488307
x_range,0.023955711771931693
soap_pc_6,0.02170072781169602
soap_pc_11,0.021484814150148145
soap_pc_5,0.021085080011204634
soap_pc_7,0.01785192333444682
asphericity,0.017192248252932824
soap_pc_13,0.01681204188818789
z_range,0.015699608318987555
surface_fraction,0.01555739656282828
soap_pc_9,0.01553064646244322
anisotropy,0.013258779665804188
soap_pc_4,0.008575019112998735
soap_pc_3,0.008548219371746504
soap_pc_15,0.0076800842195911745
