feature,importance
mean_coordination,0.17167665022904693
soap_pc_1,0.0893896439211309
soap_pc_2,0.0810435828386196
n_bonds,0.07269448614371678
compactness,0.07180410319486623
radius_of_gyration,0.06372297443043758
mean_bond_length,0.06054490352160563
soap_pc_8,0.05026075248240079
soap_pc_10,0.0301329730822143
y_range,0.027501898351496135
soap_pc_12,0.02701912807316708
soap_pc_14,0.025937939953664488
std_bond_length,0.024790605321014462
std_coordination,0.022985932750931796
soap_pc_6,0.020366021308308984
soap_pc_11,0.01805273827445365
x_range,0.01753006305121986
asphericity,0.01630607081217071
soap_pc_7,0.014609493515669736
bond_variance,0.01451313308511209
max_coordination,0.013603774638995453
soap_pc_5,0.012980039306076906
soap_pc_13,0.011764132101821362
z_range,0.009114944308060285
soap_pc_9,0.008550776896340715
anisotropy,0.006162237317478352
soap_pc_4,0.005996152883498113
soap_pc_3,0.005171418289690604
soap_pc_15,0.0030379708387090797
surface_fraction,0.002735459078081553
