feature,importance
soap_pc_2,1716
soap_pc_13,1192
soap_pc_12,1184
soap_pc_10,1158
soap_pc_11,1118
std_coordination,1084
soap_pc_3,996
soap_pc_8,990
soap_pc_14,949
soap_pc_4,937
soap_pc_7,885
radius_of_gyration,863
soap_pc_6,840
soap_pc_9,826
soap_pc_15,821
soap_pc_5,819
x_range,800
std_bond_length,798
asphericity,737
soap_pc_1,728
mean_bond_length,707
y_range,692
mean_coordination,660
compactness,649
z_range,646
anisotropy,621
n_bonds,616
max_coordination,182
bond_variance,149
surface_fraction,48
