feature,importance
mean_coordination,0.17659027489265955
soap_pc_2,0.08814996867649778
soap_pc_1,0.07653358087457116
radius_of_gyration,0.07306188703834578
compactness,0.06555750090354616
n_bonds,0.056328025403747144
mean_bond_length,0.05060940361282293
soap_pc_8,0.03334964657647091
y_range,0.027407157341469507
soap_pc_12,0.026905976448016577
std_bond_length,0.026000074593010968
max_coordination,0.02542936632018726
bond_variance,0.025342790909138553
std_coordination,0.02454166667030774
soap_pc_10,0.022563379072144493
x_range,0.020952520833482105
soap_pc_11,0.02073794182441185
soap_pc_14,0.017977505055643227
asphericity,0.016670283508396708
soap_pc_7,0.016495542300481753
soap_pc_6,0.01626678128243854
soap_pc_5,0.015724541166446896
soap_pc_13,0.014709416622837533
soap_pc_9,0.013728451542358834
anisotropy,0.010706099164159323
z_range,0.010214844511951404
soap_pc_4,0.00896596667088451
soap_pc_3,0.007998597427722612
soap_pc_15,0.006031358548032631
surface_fraction,0.00444945020781555
