feature,importance
mean_coordination,0.45616272
soap_pc_2,0.09563959
compactness,0.052379366
radius_of_gyration,0.04741212
soap_pc_8,0.04448804
soap_pc_1,0.039174236
std_coordination,0.03446453
soap_pc_12,0.026541796
soap_pc_14,0.026528604
mean_bond_length,0.024891894
soap_pc_10,0.023705972
n_bonds,0.017217955
soap_pc_7,0.016089737
soap_pc_6,0.015162916
soap_pc_9,0.009751599
soap_pc_11,0.0077855918
soap_pc_13,0.006713846
soap_pc_5,0.006690928
asphericity,0.006156366
x_range,0.006032819
soap_pc_3,0.0053484663
y_range,0.005260034
anisotropy,0.005063659
max_coordination,0.0050309584
surface_fraction,0.0047066575
soap_pc_4,0.0038698146
std_bond_length,0.0032612889
z_range,0.0023267474
soap_pc_15,0.0021418107
bond_variance,0.0
