feature,importance
mean_coordination,0.18612198518553155
soap_pc_2,0.094528292925191
radius_of_gyration,0.0830878144201353
soap_pc_1,0.07445094923216074
compactness,0.06650007827497557
n_bonds,0.05899161232169107
mean_bond_length,0.0414958917357267
soap_pc_8,0.02901793353748048
max_coordination,0.026773003705054508
soap_pc_12,0.026474819521622856
soap_pc_10,0.025551322095213765
y_range,0.02486294064348591
bond_variance,0.024765248084553146
std_coordination,0.02387429595307127
std_bond_length,0.02170481197460632
soap_pc_11,0.018549529342610387
soap_pc_7,0.01669788721741655
soap_pc_5,0.016356306046071863
soap_pc_14,0.015605585394494522
asphericity,0.015081340188696975
soap_pc_9,0.014905922475706289
x_range,0.014888413791326315
soap_pc_13,0.014806352830404514
soap_pc_6,0.013470072978438682
z_range,0.011814127430102756
anisotropy,0.011166454060454864
soap_pc_4,0.008913921789554491
soap_pc_3,0.008890415356015407
soap_pc_15,0.005752658006573204
surface_fraction,0.004900013481632914
